ticker,status,buy_date,buy_price,buy_momentum_rank,sell_date,sell_price,sell_momentum_rank,holding_days
POLYPLEX,closed,2008-04-02,24.678254892971797,12,2009-01-12,16.78614589534434,,285
SURYAROSNI,closed,2008-04-02,2.878266747133731,26,2009-01-12,1.3989051187602173,42,285
MALUPAPER,closed,2008-04-02,31.25,31,2009-01-12,9.9,85,285
VESUVIUS,closed,2008-04-02,19.35663149390413,49,2009-01-12,7.9597363152502965,37,285
PGHH,closed,2008-04-02,607.9959175128926,59,2009-01-12,630.5994477700792,2,285
FIEMIND,closed,2008-04-02,17.606663600655665,65,2009-01-12,10.342774537431794,26,285
VIVIMEDLAB,closed,2008-04-02,18.01,92,2009-01-12,8.200000000000001,51,285
SHYAMTEL,closed,2008-07-04,77.15,33,2009-04-21,50.15,35,291
HIRECT,closed,2008-07-04,32.69234483643025,104,2009-04-21,19.719982566986104,60,291
GILLETTE,closed,2008-10-06,652.5395432094008,11,2009-07-21,751.7861110050372,29,288
TTKPRESTIG,closed,2008-10-06,11.908818130357108,6,2009-10-22,26.28305521171351,10,381
PCBL,closed,2009-01-12,0.20150348470409166,108,2009-10-22,0.9275642982223202,60,283
ARCHIES,closed,2008-04-02,17.290000000000003,74,2010-01-25,18.03,91,663
IFBAGRO,closed,2009-04-21,48.25,33,2010-01-25,86.95,,279
IDEA,closed,2008-04-02,103.63963603639637,28,2010-01-25,62.24377562243775,123,663
RICOAUTO,closed,2008-04-02,25.510603385750173,90,2010-01-25,25.88853825072425,44,663
SASKEN,closed,2009-04-21,45.62712526281588,30,2010-01-25,108.24212757280102,,279
JINDALPHOT,closed,2009-07-21,55.683063430227534,57,2010-01-25,105.95531085204952,54,188
ARIES,closed,2009-07-21,45.98218425056939,93,2010-04-29,112.06665258160577,16,282
COFORGE,closed,2008-04-02,2.7214629210132717,91,2010-04-29,4.85910940144847,45,757
WEBELSOLAR,closed,2008-10-06,4.67466291095973,96,2010-07-27,14.260000000000002,25,659
RSSOFTWARE,closed,2009-10-22,19.403195000243592,2,2010-07-27,20.239354784784478,,278
BAJFINANCE,closed,2009-10-22,0.026174300568074602,3,2010-07-27,0.05157306630450255,18,278
KNRCON,closed,2009-10-22,6.170707777370618,5,2010-07-27,8.301189280892064,,278
MUNJALAU,closed,2009-10-22,2.0774719971391753,8,2010-07-27,2.9061330962781624,38,278
WELSPUNLIV,closed,2009-10-22,0.3657007011998581,9,2010-07-27,0.38309201592006265,,278
GABRIEL,closed,2009-10-22,11.8966080475135,11,2010-07-27,27.214609010947232,,278
KOTARISUG,closed,2009-10-22,11.70013784430099,62,2010-07-27,7.0494554375704706,113,278
KAUSHALYA,closed,2009-10-22,21.64783521647835,68,2010-07-27,21.097890210978903,108,278
RPGLIFE,closed,2009-10-22,53.84399206348215,4,2010-07-27,86.42073370523747,,278
INDIANHUME,closed,2009-10-22,15.100640801707247,28,2010-07-27,20.2823773168754,86,278
WILLAMAGOR,closed,2010-01-25,65.3,9,2010-07-27,60.2,60,183
BIL,closed,2010-01-25,80.7217359165338,12,2010-07-27,66.13347038944939,47,183
TFCILTD,closed,2008-07-04,2.904865903320721,65,2010-07-27,6.260321567222544,,753
VARDHACRLC,closed,2009-10-22,5.4483321751323635,7,2010-10-25,7.98554568806165,73,368
PCBL,closed,2010-01-25,1.0167012284533525,3,2010-10-25,1.1803890457867032,94,273
GREENPLY,closed,2010-01-25,38.24274524665554,10,2010-10-25,39.30919657357557,62,273
VIVIMEDLAB,closed,2010-01-25,30.84,11,2010-10-25,64.64,19,273
SOMANYCERA,closed,2010-01-25,29.260978629492293,13,2010-10-25,55.05028975679328,,273
TTKPRESTIG,closed,2010-04-29,50.880938253004985,1,2010-10-25,101.99514616205884,10,179
CENTEXT,closed,2010-04-29,11.25,10,2010-10-25,5.6,126,179
ATLASCYCLE,closed,2009-10-22,98.025,15,2010-10-25,132.675,82,368
FIEMIND,closed,2009-10-22,21.597811437591858,20,2010-10-25,46.91309200330142,27,368
OMAXAUTO,closed,2009-10-22,51.09011913650201,42,2010-10-25,59.28381748858252,108,368
SHIVAMAUTO,closed,2009-10-22,7.505000000000001,50,2010-10-25,15.510000000000002,33,368
PONNIERODE,closed,2010-01-25,158.41929974839405,1,2010-10-25,115.91418301590187,107,273
KABRAEXTRU,closed,2010-04-29,15.763070097724869,8,2010-10-25,82.22310888205779,2,179
AEGISLOG,closed,2010-04-29,0.5821178972697452,13,2010-10-25,1.7542099695871416,3,179
LUMAXTECH,closed,2010-07-27,24.830250622591482,3,2010-10-25,34.23046215203492,,90
INSECTICID,closed,2010-07-27,95.02133490351078,6,2010-10-25,91.1264973846322,15,90
SIYSIL,closed,2010-07-27,53.975803276261296,7,2010-10-25,59.84984305282064,14,90
RML,closed,2010-07-27,107.76914295567644,10,2010-10-25,154.20248853384487,,90
PRECWIRE,closed,2010-07-27,0.5184262943264206,14,2010-10-25,0.5677135038870786,,90
SSWL,closed,2010-07-27,10.038477836708113,16,2010-10-25,20.312193807231537,,90
IMPAL,closed,2010-07-27,107.7450497359797,24,2011-01-24,113.33882150560461,17,181
BHARATGEAR,closed,2010-07-27,46.14574717073792,26,2011-01-24,36.79894568997939,,181
CERA,closed,2010-07-27,61.08328835943048,32,2011-01-24,155.67592465590124,5,181
JOCIL,closed,2010-07-27,156.7591534112612,56,2011-01-24,129.6439400029833,64,181
MANGALAM,closed,2010-07-27,16.802428006775834,57,2011-04-28,14.11005081874647,114,275
BAJFINANCE,closed,2010-10-25,7.670039484985418,1,2011-04-28,6.869299771310246,,185
TTL,closed,2010-10-25,0.4134981967552755,7,2011-04-28,0.3516890804384382,8,185
INDIANHUME,closed,2010-10-25,45.08598324165735,13,2011-04-28,35.01788266446573,16,185
SUPERSPIN,closed,2010-10-25,18.2,23,2011-04-28,11.55,,185
NITINSPIN,closed,2010-10-25,14.106780920888099,24,2011-04-28,12.084480159502043,35,185
NAGREEKEXP,closed,2010-10-25,21.33626615342315,25,2011-04-28,17.761891668957933,20,185
PLASTIBLEN,closed,2010-10-25,12.727476515418463,57,2011-04-28,11.951123973812532,39,185
MUNJALAU,closed,2010-10-25,3.4170631840899826,60,2011-04-28,2.747849515543749,83,185
LOKESHMACH,closed,2010-10-25,67.85,70,2011-04-28,43.95,,185
