ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,185,2016-07-01,215.5360413046,2016-07-12,203.5037434668,,-2386.3526706699413,-0.05984708426101927,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-07-13,149.15,,-2310.9229493613966,-0.05793899653536305,exit_model_urgent
BBTC,96,2016-07-01,413.7610375472,2016-07-18,385.9324287571,,-2831.308199916508,-0.07127977521509837,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
CCHHL,3007,2016-07-01,13.3,2016-08-02,12.5,,-2566.455927565199,-0.0641724679398496,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-12,48.65,,-2188.7831277000005,-0.054753799317073186,exit_model_urgent
BFINVEST,341,2016-07-01,117.2977211069,2016-08-12,122.3848616386,,1573.8371823520356,0.03934738256177598,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-10-04,310.0141016448,,6215.267999949887,0.156097066443375,signal
CAPLIPOINT,38,2016-07-01,1049.3634660595,2016-10-04,1354.63906349,,11440.088519085642,0.2868929315397944,signal
DBCORP,101,2016-10-04,395.0,2016-10-07,381.05,,-1569.4113603399965,-0.039338547696202444,exit_model_urgent
ATLASCYCLE,132,2016-10-04,302.4,2016-10-14,403.45,,13178.05095805441,0.3301379609100532,exit_model_urgent
AIAENG,31,2016-10-04,1271.7203303297,2016-10-21,1203.8624970557,,-2262.1570926665445,-0.05738117705638763,exit_model_urgent
CARBORUNIV,142,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3154.174527151503,-0.07905619841224959,exit_model_urgent
CERA,16,2016-10-04,2435.2832749962,2016-11-10,2365.2913711764,,-1276.5893951663384,-0.03276285679661667,exit_model_urgent
GREENPLY,146,2016-10-04,272.3,2016-11-11,270.4,,-437.301485133612,-0.010999690237238641,exit_model_urgent
GENESYS,432,2016-10-04,92.6,2016-11-15,92.8,,-74.49655069439905,-0.0018622647861770822,exit_model_urgent
AMBIKCO,45,2016-10-04,874.65,2017-01-04,1041.35,,7177.884625448991,0.18236842992305471,signal
APARINDS,64,2017-01-04,627.3038590691,2017-01-06,594.2521569766,,-2276.785659240384,-0.056710596326352745,exit_model_urgent
ASHOKA,247,2017-01-04,163.85,2017-01-06,155.0,,-2348.7278842273954,-0.058034908600549176,exit_model_urgent
FACT,1549,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,16279.895712074074,0.40246645761710753,exit_model_urgent
ATULAUTO,90,2017-01-04,446.7,2017-01-31,422.2,,-2366.7001646760036,-0.05886874523483331,exit_model_urgent
EMMBI,287,2017-01-04,140.55,2017-01-31,132.1,,-2587.392543782211,-0.06414304539736775,exit_model_urgent
CYBERTECH,451,2017-01-04,89.55,2017-02-01,83.6,,-2845.8904307085977,-0.07046541974986037,exit_model_urgent
CHAMBLFERT,621,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3744.8369478829554,0.09254715831759777,signal
CHENNPETRO,148,2017-01-04,272.7274416405,2017-04-07,322.0404186238,,7135.974234070403,0.17679204495180234,signal
BEDMUTHA,1174,2017-04-07,34.95,2017-04-12,33.0,,-2454.3316634796065,-0.05981608341630917,exit_model_urgent
DHANBANK,1124,2017-04-07,36.5,2017-04-18,33.85,,-3143.610346392001,-0.07662483172602742,exit_model_urgent
EXCELINDUS,101,2017-04-07,404.7,2017-04-18,380.15,,-2643.9518038724054,-0.06468431092760082,exit_model_urgent
AROGRANITE,496,2017-04-07,82.75,2017-04-24,76.95,,-3041.8827440479945,-0.07411272644108748,exit_model_urgent
BANSWRAS,438,2017-04-07,93.725,2017-05-17,102.025,,3470.2868891574108,0.0845348565196055,exit_model_urgent
BIRLACABLE,910,2017-04-07,45.1,2017-05-22,42.3,,-2713.070677771997,-0.06610634920620835,exit_model_urgent
AVTNPL,902,2017-04-07,45.5,2017-05-23,42.5,,-2871.070677771997,-0.06995615793406586,exit_model_urgent
GOACARBON,322,2017-04-07,127.45,2017-05-24,129.8,,591.6377686212072,0.014416511373872282,exit_model_urgent
DONEAR,543,2017-07-10,74.6,2017-07-13,68.55,,-3448.0760983175933,-0.0851212877104556,exit_model_urgent
ACCELYA,30,2017-07-10,1339.05,2017-10-10,1486.5,,4093.2062312220005,0.10189328830693403,signal
DWARKESH,515,2017-10-10,78.75,2017-10-11,73.9,,-2660.8709686750008,-0.06560939358730161,exit_model_urgent
GENUSPAPER,4801,2017-10-10,8.45,2017-10-11,7.65,,-4003.970038197396,-0.09869664821301767,exit_model_urgent
