ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BSOFT,138,2016-07-01,144.6123430718,2016-07-07,138.8609772163,,-873.9553805065079,-0.04379301150335424,exit_model_urgent
AEGISLOG,181,2016-07-18,109.9813327122,2016-07-25,114.5599948217,,748.6715798598561,0.03760917393020549,signal
APTECHT,283,2016-07-18,70.55,2016-07-25,73.1,,641.3463188602,0.03212248631325301,signal
BEL,598,2016-07-18,33.3766576484,2016-07-25,33.3954530793,,-69.0382369749932,-0.00345896099095783,signal
BIOCON,175,2016-07-18,114.0005260355,2016-07-25,132.8336822162,,3215.5612259639456,0.16118027009116548,signal
DWARKESH,841,2016-07-18,23.755,2016-07-25,24.215,,306.50682701814003,0.0153422523485582,signal
EIDPARRY,90,2016-07-18,220.2071143224,2016-07-25,220.7614431187,,-29.822802890328603,-0.0015047855178469114,signal
EVERESTIND,68,2016-07-18,290.05,2016-07-25,294.0,,189.27067064719813,0.009596249665230037,signal
GANECOS,124,2016-07-18,160.0,2016-07-25,160.5,,-17.798305280000932,-0.000897092000000047,signal
GLAXO,13,2016-07-18,1491.7885300555,2016-07-25,1490.7830460503,,-91.07273132916089,-0.004696104425314979,signal
GOKEX,197,2016-07-18,101.2,2016-07-25,103.5,,372.913965051197,0.018705180727272577,signal
BBL,47,2016-07-25,420.175,2016-07-28,397.1,,-1163.9541777867016,-0.05893968585970139,exit_model_urgent
GINNIFILA,712,2016-07-25,28.2,2016-07-28,26.45,,-1326.7571720127999,-0.06607882958865248,exit_model_urgent
AHLWEST,139,2016-07-25,144.0,2016-08-01,162.75,,2525.7438065280003,0.12618624133333334,signal
AKSHOPTFBR,1247,2016-07-25,16.1,2016-08-01,15.4,,-953.6503344564007,-0.047500352869565256,signal
BAJAJHIND,1022,2016-07-25,19.65,2016-08-01,20.05,,328.0271418284028,0.016334142096692254,signal
BASF,18,2016-07-25,1096.45,2016-08-01,1046.1,,-985.6804099212022,-0.04994301862684128,signal
CHAMBLFERT,384,2016-07-25,52.2313859619,2016-08-01,51.4668279239,,-374.2607914084874,-0.01865999646911945,signal
ELGIRUBCO,616,2016-07-25,32.6,2016-08-01,33.05,,196.42995729279573,0.009781588981594879,signal
GKWLIMITED,32,2016-07-25,622.25,2016-08-01,699.3,,2385.5121040960003,0.11980273724869427,signal
GNFC,129,2016-07-25,155.35,2016-08-01,149.55,,-828.8033269937987,-0.04135714188735108,signal
ASAHISONG,100,2016-08-01,199.25,2016-08-02,188.05,,-1200.1401831000003,-0.06023288246424092,exit_model_urgent
ARVIND,65,2016-08-01,305.75,2016-08-03,293.35,,-885.934050885,-0.04457810181193786,exit_model_urgent
GEECEE,127,2016-08-01,157.45,2016-08-03,150.15,,-1007.5263549457995,-0.05038601705557318,exit_model_urgent
DENORA,58,2016-08-01,340.8,2016-08-04,322.7,,-1129.302279308802,-0.05713242063849776,exit_model_urgent
ATLASCYCLE,96,2016-08-01,208.55,2016-08-08,202.35,,-675.7254995136027,-0.03375117375497495,signal
ATUL,10,2016-08-01,1893.2065450816,2016-08-08,1893.2558011578,,-75.65394823120369,-0.003996074724532652,signal
FILATEX,2836,2016-08-01,7.0792920708,2016-08-08,6.6543345665,,-1285.9305097090873,-0.06405034059463337,signal
GAIL,411,2016-08-01,48.8210430847,2016-08-08,49.0715721216,,22.26235344179804,0.0011094869477367361,signal
GICHSGFIN,72,2016-08-01,278.136369633,2016-08-08,287.8665207484,,620.0251954696832,0.03096129089321486,signal
GPPL,116,2016-08-01,171.95,2016-08-08,170.8,,-213.62545145039257,-0.010710082694969097,signal
GINNIFILA,798,2016-08-08,25.0,2016-08-09,23.95,,-918.1407354000003,-0.046022092000000014,exit_model_urgent
GNFC,137,2016-08-08,145.25,2016-08-10,138.15,,-1052.736614231002,-0.05290333124268513,exit_model_urgent
GODREJCP,41,2016-08-08,480.0151291657,2016-08-10,459.6478832567,,-914.2143477157479,-0.04645251694181312,exit_model_urgent
EIHAHOTELS,116,2016-08-08,171.8,2016-08-12,163.85,,-1002.3554670496051,-0.05029683006752062,exit_model_urgent
3MINDIA,1,2016-08-08,12568.4729217639,2016-08-16,12460.1891249212,,-158.8353512335434,-0.01263760141922253,signal
BLUECHIP,49918,2016-08-08,0.4,2016-08-16,0.4,,-80.3099153824005,-0.004022092000000025,signal
DABUR,71,2016-08-08,277.7378806524,2016-08-16,283.6724507518,,342.04127819870337,0.017345429367484462,signal
DREDGECORP,48,2016-08-08,413.05,2016-08-16,400.4,,-686.9436048288044,-0.03464792422370195,signal
GOLDIAM,1463,2016-08-08,13.64,2016-08-16,14.56,,1265.6978670705612,0.06342658835190622,signal
