ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BAJAJHIND,103,2016-08-08,19.25,2016-08-09,18.6,,-74.9248029129999,-0.03778832576623371,exit_model_urgent
DREDGECORP,4,2016-08-08,409.3209900692,2016-08-09,412.8389407162,,7.48649586964234,0.004572509137863092,exit_model_urgent
TTKPRESTIG,5,2016-08-08,385.3893741946,2016-08-09,395.129668892,,40.95111589283442,0.02125181369020123,exit_model_urgent
RAYMOND,4,2016-08-08,451.5949361413,2016-08-10,418.3572303962,,-140.21624849997784,-0.0776227971564906,exit_model_urgent
RELAXO,17,2016-08-08,116.1201335011,2016-08-10,115.0872987686,,-25.497970072393173,-0.012916628213138487,exit_model_urgent
RTNPOWER,187,2016-08-08,10.65,2016-08-10,10.3,,-73.46019732259992,-0.03688594176525818,exit_model_urgent
DABUR,7,2016-08-08,274.1808697231,2016-08-11,276.1024792374,,5.731801821435738,0.0029864550085519324,exit_model_urgent
GRAPHITE,30,2016-08-08,66.5223638228,2016-08-11,62.7984655935,,-119.7437188995832,-0.06000173576641204,exit_model_urgent
INDHOTEL,15,2016-08-08,129.36384317,2016-08-11,126.7953361655,,-46.33230424804947,-0.023876998452683634,exit_model_urgent
ATUL,1,2016-08-08,1883.9660278449,2016-08-12,1924.9420561322,,33.39854359843321,0.017727784421165148,exit_model_urgent
GNFC,14,2016-08-08,135.4049371824,2016-08-12,136.2905460659,,4.773968764574192,0.002518355504561909,exit_model_urgent
GOLDIAM,234,2016-08-08,8.5430795117,2016-08-12,8.9940338555,,97.48283033750704,0.0487638317623161,exit_model_urgent
IFCI,75,2016-08-08,26.65,2016-08-16,26.95,,14.46084361499993,0.007234943647279515,signal
KEI,17,2016-08-08,111.8712966163,2016-08-17,111.7735924271,,-9.310234217950665,-0.004895454445552955,exit_model_urgent
AEGISLOG,18,2016-08-16,104.9369607564,2016-08-17,107.6324185614,,40.92105050347254,0.02166435618346905,exit_model_urgent
CAPLIPOINT,1,2016-08-16,1097.1529643273,2016-08-17,1148.6599670664,,47.09415257850287,0.04292396239149554,exit_model_urgent
DALMIASUG,19,2016-08-16,101.4637863492,2016-08-17,94.9672166585,,-131.1886611072316,-0.06805054909247689,exit_model_urgent
WALCHANNAG,13,2016-08-16,148.1,2016-08-17,146.7,,-25.943733727600147,-0.013475164248480833,exit_model_urgent
BHARTIARTL,5,2016-08-08,335.9269629525,2016-08-18,337.4558582468,,0.8888307201225416,0.0005291809340402497,exit_model_urgent
BALRAMCHIN,20,2016-08-16,98.0606940342,2016-08-18,102.3032842756,,76.96362216821217,0.03924285001560873,exit_model_urgent
NBCC,41,2016-08-16,48.4475964168,2016-08-18,50.4493047259,,74.0807523844428,0.03729488669754104,exit_model_urgent
ACE,46,2016-08-16,42.7587909749,2016-08-19,43.5570881226,,28.810598403148333,0.014647686295850556,exit_model_urgent
ASIANTILES,9,2016-08-16,210.233354708,2016-08-19,207.83040757,,-29.236725288937805,-0.015451996361929263,exit_model_urgent
UCOBANK,51,2016-08-16,38.9171935744,2016-08-19,39.9794494784,,46.1920959241595,0.023273193359393332,exit_model_urgent
NESTLEIND,6,2016-08-16,314.0197961204,2016-08-22,315.699407135,,2.49956702869531,0.0013266504530269263,exit_model_urgent
USHAMART,136,2016-08-23,14.6034618626,2016-08-24,13.870846719,,-107.62381905926236,-0.05418931607967223,exit_model_urgent
VTL,10,2016-08-23,190.4420309892,2016-08-24,197.8470841919,,66.39077833394572,0.03486141057680211,exit_model_urgent
WELSPUNLIV,31,2016-08-23,62.8710953896,2016-08-24,56.5934973628,,-202.44461205453013,-0.10387080606962039,exit_model_urgent
CHOLAFIN,9,2016-08-23,211.79194985,2016-08-25,214.8661922089,,20.001560865695183,0.010493296148970268,exit_model_urgent
GOKEX,25,2016-08-23,77.3,2016-08-26,75.85,,-44.02269279000029,-0.022780177381630164,exit_model_urgent
HINDPETRO,89,2016-08-23,22.351355838,2016-08-26,22.9282665302,,43.34402195983944,0.02178890113980678,exit_model_urgent
MUTHOOTFIN,7,2016-08-23,281.0919383038,2016-08-29,285.3795676902,,22.09936225058641,0.011231384895399162,exit_model_urgent
PRESTIGE,10,2016-08-23,182.9339408604,2016-08-29,177.5070979546,,-61.62620045863105,-0.03368767991810718,exit_model_urgent
COLPAL,2,2016-08-23,772.2101643569,2016-08-30,785.9392612459,,21.246393129242733,0.013756872228518789,signal
POLYMED,10,2016-08-23,194.5528608112,2016-08-30,194.5528608112,,-15.996315204528855,-0.008222092000000025,signal
THERMAX,2,2016-08-23,806.7063270856,2016-08-30,811.4001375186,,2.898326736959234,0.0017963951934219125,signal
DEEPAKNTR,20,2016-08-30,98.9687528637,2016-08-31,111.3889386149,,240.44248644113895,0.12147393974554621,exit_model_urgent
FORTIS,11,2016-08-30,173.8193715458,2016-08-31,176.9959677134,,27.25226530246664,0.014253179273564499,exit_model_urgent
FSL,57,2016-08-30,34.7309645194,2016-08-31,36.1317388891,,71.8817444037918,0.03631005509362768,exit_model_urgent
GODREJPROP,5,2016-08-30,356.9247258033,2016-08-31,357.9199153358,,-2.2019727587785383,-0.0012338583458026036,exit_model_urgent
PVRINOX,1,2016-08-30,1168.3207556419,2016-08-31,1181.2490581813,,8.229208974698622,0.007043621312862256,exit_model_urgent
NAUKRI,12,2016-08-30,160.6916422403,2016-09-01,160.5956209423,,-8.908054400659012,-0.00461964204467762,exit_model_urgent
NESTLEIND,6,2016-08-30,311.1491036108,2016-09-06,305.4542452124,,-41.67797231304121,-0.022324758896072532,exit_model_urgent
RCF,47,2016-08-30,41.7664912402,2016-09-08,42.7408950655,,37.90151228569198,0.019307706514703663,exit_model_urgent
MCX,10,2016-09-07,186.9550428825,2016-09-08,188.0976834624,,3.906901975626397,0.0020897547963345704,exit_model_urgent
SUPREMEIND,2,2016-09-07,891.9535151052,2016-09-08,905.604894096,,20.12771978664682,0.011282942129710026,exit_model_urgent
UNICHEMLAB,7,2016-08-30,268.4,2016-09-09,273.5,,28.143293550400358,0.014979398312965915,exit_model_urgent
BALRAMCHIN,21,2016-09-07,92.5614422814,2016-09-09,94.9972697098,,43.33427262972168,0.02229369747305862,exit_model_urgent
CYIENT,4,2016-09-07,429.2683975267,2016-09-09,413.8041260062,,-68.76331403217978,-0.04004680662982114,exit_model_urgent
USHAMART,159,2016-09-07,12.5521394605,2016-09-09,12.845185518,,38.567071449092964,0.019324211506440307,exit_model_urgent
ECLERX,3,2016-09-07,516.7728251904,2016-09-15,512.3664801125,,-19.454558771747315,-0.012548749871912266,signal
GUJGASLTD,3,2016-09-07,627.4,2016-09-15,608.95,,-62.9203815623996,-0.03342916882499182,signal
KARURVYSYA,5,2016-09-07,343.0674277345,2016-09-15,345.5839026314,,5.683130701742584,0.0033131275325506923,signal
IIFL,8,2016-09-15,236.3368343774,2016-09-16,223.6751279026,,-108.89819972523742,-0.057596925174675045,exit_model_urgent
DLF,14,2016-09-15,134.8767924131,2016-09-19,141.8773179709,,90.41254166069484,0.04788102218704892,exit_model_urgent
M&M,2,2016-09-15,690.2721744432,2016-09-19,695.5489217322,,5.000818196698901,0.0036223524443331017,exit_model_urgent
NATIONALUM,70,2016-09-15,28.3916859483,2016-09-19,28.1758968043,,-23.098818184342008,-0.011622526309992866,exit_model_urgent
POWERGRID,28,2016-09-15,69.2044856341,2016-09-19,70.2338429719,,21.028294833475456,0.010852049876329487,exit_model_urgent
ASTRAL,10,2016-09-15,197.5654375099,2016-09-20,192.5390062505,,-58.210576250850636,-0.02946394722909654,exit_model_urgent
TATASTEEL,59,2016-09-15,33.5198324121,2016-09-21,33.8308788919,,10.397371170822908,0.005257383982335581,exit_model_urgent
YESBANK,8,2016-09-15,244.36,2016-09-21,244.05,,-10.342707208960064,-0.0052907120687510556,exit_model_urgent
NMDC,92,2016-09-15,21.5662284025,2016-09-22,21.6396542774,,-1.2250241441638536,-0.0006174227398205807,signal
SHRIRAMFIN,57,2016-09-15,34.9180593551,2016-09-22,36.1548516864,,62.49187499440313,0.03139775532663465,signal
THANGAMAYL,15,2016-09-07,129.1353965843,2016-09-22,125.1021528174,,-76.42510317108918,-0.03945476618214879,signal
AIAENG,1,2016-09-22,1112.2616461776,2016-09-23,1149.2005802593,,32.465315412702466,0.029188559656149988,exit_model_urgent
IGL,28,2016-09-22,68.8858013799,2016-09-23,70.2337970924,,29.986059091976585,0.015546464734440768,exit_model_urgent
APLAPOLLO,23,2016-09-22,83.8644484805,2016-09-26,86.3963342789,,50.47523123488986,0.026168123809845914,exit_model_urgent
MINDACORP,18,2016-09-22,107.2123763319,2016-09-26,98.7685573139,,-159.7506670646194,-0.08277996778721562,exit_model_urgent
SUNDARMFIN,1,2016-09-22,1309.3361439489,2016-09-26,1281.5082395403,,-33.09417483848756,-0.025275537524441196,exit_model_urgent
TTKPRESTIG,5,2016-09-22,391.162300312,2016-09-26,389.6725129268,,-15.315390719932566,-0.007830708996095307,exit_model_urgent
DABUR,7,2016-09-22,267.4786706854,2016-09-28,259.9328382024,,-60.35159413174097,-0.03223306098554282,exit_model_urgent
GMDCLTD,23,2016-09-22,84.102643339,2016-09-28,84.5807709305,,3.2167575185892474,0.0016629563233062294,exit_model_urgent
GPPL,15,2016-09-22,125.3362021196,2016-09-28,129.3698423283,,52.94289709266559,0.028160470902703596,exit_model_urgent
COROMANDEL,8,2016-09-22,235.0236345244,2016-09-29,224.960597752,,-88.0665876210519,-0.04683921885093905,signal
ECLERX,3,2016-09-22,503.4207682186,2016-09-29,493.2778606808,,-36.50313654685783,-0.024170063991087405,signal
SASKEN,7,2016-09-22,284.9898896178,2016-09-29,267.2514255489,,-140.57174012285168,-0.07046452485503582,signal
SPARC,5,2016-09-22,343.75,2016-09-29,305.55,,-197.91297062500007,-0.11514936472727277,signal
TRENT,14,2016-09-22,140.7996403242,2016-09-29,138.5468460791,,-39.46744692871175,-0.02002209199938066,signal
ACC,1,2016-09-29,1468.349091636,2016-09-30,1478.9337032573,,4.678776486623747,0.003186419709914326,exit_model_urgent
BRIGADE,24,2016-09-29,82.118426196,2016-09-30,82.8584468972,,9.833588067467417,0.004989535907160796,exit_model_urgent
HINDUNILVR,2,2016-09-29,800.63687142,2016-09-30,791.1109061389,,-25.492400873087036,-0.015920076743326857,exit_model_urgent
KOTAKBANK,12,2016-09-29,152.9384745604,2016-09-30,153.809467685,,3.070326114940599,0.001672963656227238,exit_model_urgent
LTF,25,2016-09-29,79.1267269712,2016-09-30,84.6697551303,,130.6193295890737,0.0660304474045113,exit_model_urgent
M&M,2,2016-09-29,669.7296745317,2016-09-30,690.002201326,,35.15762485640698,0.026247623625898397,exit_model_urgent
NHPC,122,2016-09-29,16.1729957313,2016-09-30,16.60471841,,44.734155038278914,0.022671953177077375,exit_model_urgent
PGEL,131,2016-09-29,15.1383881157,2016-09-30,15.2632923081,,8.386122549370157,0.004228733084241423,exit_model_urgent
RICOAUTO,33,2016-09-29,58.5674620849,2016-09-30,61.3212638286,,83.10185475860476,0.042997219502828365,exit_model_urgent
IFCI,77,2016-09-29,25.7,2016-10-03,26.7,,69.04068214120025,0.034888413836576,exit_model_urgent
MMTC,68,2016-09-29,29.0,2016-10-03,30.0,,60.06843457600007,0.03046066662068969,exit_model_urgent
NTPC,22,2016-09-29,88.7052763582,2016-10-03,89.3878529243,,7.167507241441854,0.0036727892305561324,exit_model_urgent
SOUTHBANK,93,2016-09-29,21.1133288681,2016-10-03,22.8892163429,,157.25999830096043,0.08009005752859341,exit_model_urgent
HINDCOPPER,32,2016-09-29,61.7321703108,2016-10-07,58.5536836657,,-109.65693163039055,-0.055510426673759626,exit_model_urgent
CCL,9,2016-10-06,214.9606889778,2016-10-07,222.9306782985,,63.948578879231036,0.033054404910200584,exit_model_urgent
KPRMILL,182,2016-10-06,10.9477858856,2016-10-13,10.2048865054,,-143.2216935655299,-0.07188050537810257,exit_model_urgent
MUTHOOTFIN,6,2016-10-06,286.8928486501,2016-10-14,294.333146703,,37.718331728923204,0.02191197393405299,exit_model_urgent
ITC,11,2016-10-06,168.2318766291,2016-10-17,170.4995346123,,17.50115287871654,0.00945726773037693,signal
AXISBANK,3,2016-10-06,528.1824894786,2016-10-18,529.8243529067,,-1.447605412115763,-0.0009135765516351363,exit_model_urgent
APOLLOTYRE,10,2016-10-17,194.0819411352,2016-10-18,203.531276694,,86.68720136015668,0.04466525883506557,exit_model_urgent
BANKBARODA,14,2016-10-17,141.3493424603,2016-10-18,145.7972349856,,54.31121452099251,0.02744528130277477,exit_model_urgent
CESC,47,2016-10-17,41.9427658286,2016-10-18,42.6020880554,,23.059354503437135,0.011697477603357521,exit_model_urgent
DIVISLAB,1,2016-10-17,1174.2197661173,2016-10-18,1226.9592109227,,48.016624877857794,0.04089236637246415,exit_model_urgent
HDFCBANK,7,2016-10-17,282.2045006413,2016-10-18,286.7988455455,,24.21504707864642,0.012258105139873776,exit_model_urgent
M&MFIN,5,2016-10-17,334.6835379877,2016-10-18,344.7502844618,,43.60309246713996,0.026056311421413517,exit_model_urgent
