ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BLUECHIP,40000,2016-07-01,0.5,2016-07-04,0.5,,-80.4418399999995,-0.004022091999999975,exit_model_urgent
FCL,7259,2016-07-01,2.755,2016-07-07,2.74,,-189.32098785613925,-0.009466738098003594,exit_model_urgent
ARE&M,24,2016-07-01,805.8123352148,2016-07-08,791.1671569009,,-429.2695118608499,-0.02219652005711843,exit_model_urgent
BALPHARMA,228,2016-07-01,87.65,2016-07-11,106.0,,4103.4217090536,0.20533329875869938,signal
CEATLTD,24,2016-07-01,822.4439786298,2016-07-11,815.3453194851,,-249.75850779828033,-0.01265326850460079,signal
FCSSOFT,66666,2016-07-01,0.3,2016-07-11,0.3,,-80.44103558159986,-0.004022091999999994,signal
FLEXITUFF,101,2016-07-01,196.4,2016-07-11,199.9,,273.71617425119985,0.013798681930753556,signal
GLAXO,13,2016-07-01,1494.9599718178,2016-07-11,1516.809685148,,205.8790082340056,0.010593492190947662,signal
GSS,873,2016-07-01,22.9,2016-07-11,23.25,,225.14154336360298,0.011261750794759976,signal
ASTRAZEN,18,2016-07-01,1061.3,2016-07-12,1059.35,,-111.93563231279768,-0.0058594612641099325,exit_model_urgent
AYMSYNTEX,204,2016-07-11,98.3,2016-07-12,97.75,,-192.85581529440242,-0.009617208988809887,exit_model_urgent
ESTER,383,2016-07-11,52.3,2016-07-12,50.95,,-597.6161226427939,-0.029834711502867768,exit_model_urgent
AXISCADES,80,2016-07-11,248.35,2016-07-13,238.55,,-863.9109238560013,-0.043482530896718406,exit_model_urgent
FORTIS,126,2016-07-11,158.8311582728,2016-07-13,153.1178072558,,-800.375253053011,-0.03999331502153748,exit_model_urgent
GREENPOWER,1816,2016-07-11,11.05,2016-07-13,10.9,,-353.1105157456004,-0.017596752633484182,exit_model_urgent
AMBIKCO,24,2016-07-11,816.3,2016-07-14,801.25,,-439.99760879039604,-0.02245894119759872,exit_model_urgent
AHLUCONT,72,2016-07-11,277.55,2016-07-18,277.55,,-80.3758776912,-0.004022092,signal
BLUESTARCO,97,2016-07-18,205.9929300212,2016-07-19,201.3427075907,,-531.4382598002994,-0.026596762062809573,exit_model_urgent
BUTTERFLY,121,2016-07-18,164.6,2016-07-19,163.9,,-164.806397527198,-0.00827482590036442,exit_model_urgent
GLAXO,13,2016-07-18,1491.7885300555,2016-07-19,1498.8050597435,,13.213446682439098,0.0006813425328685319,exit_model_urgent
ADSL,600,2016-07-18,33.3,2016-07-25,34.8,,819.6386018400008,0.04102295304504509,signal
AUROPHARMA,28,2016-07-18,713.9004771483,2016-07-25,760.5646807785,,1226.1992465034382,0.061343046592709415,signal
BYKE,124,2016-07-18,161.2,2016-07-25,162.5,,80.8032074303992,0.004042424129032218,signal
DELTAMAGNT,801,2016-07-11,25.05,2016-07-25,26.45,,1040.6965229154011,0.05186613155289427,signal
GPIL,7238,2016-07-18,2.7615152774,2016-07-25,2.6747783799,,-708.194625944976,-0.03543126007878901,signal
