ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,92,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-1045.5418413295447,-0.05272707600573497,exit_model_urgent
BASML,76,2016-07-01,261.15,2016-07-08,244.85,,-1318.6280687607978,-0.06643832787976248,exit_model_urgent
ARCHIDPLY,390,2016-07-01,51.25,2016-07-11,50.95,,-197.39156385000024,-0.009875750536585378,signal
BALAMINES,74,2016-07-01,267.22608569,2016-07-11,276.4304844709,,601.5897250796661,0.03042214557184291,signal
BANCOINDIA,126,2016-07-01,157.65,2016-07-11,155.0,,-413.7944332788029,-0.020831479884554537,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
CCHHL,1503,2016-07-01,13.3,2016-07-11,14.05,,1046.8487831292005,0.05236888544360904,signal
CEMPRO,139,2016-07-01,143.7641786056,2016-07-11,147.4453375042,,431.30673428619775,0.021583444332516095,signal
CYBERTECH,323,2016-07-01,61.75,2016-07-11,59.65,,-758.5216304629976,-0.03803018916599178,signal
DTIL,90,2016-07-01,221.6333333333,2016-07-11,223.3666666667,,75.77133088201299,0.003798632921342778,signal
BALPHARMA,188,2016-07-11,106.0,2016-07-12,101.0,,-1020.1522493759985,-0.05119190332075464,exit_model_urgent
BEDMUTHA,973,2016-07-11,20.5,2016-07-12,18.75,,-1782.9766580780015,-0.08938794565853667,exit_model_urgent
BHARATGEAR,304,2016-07-11,65.6333333333,2016-07-12,62.7666666667,,-951.717591346096,-0.0476990853966704,exit_model_urgent
CELEBRITY,1400,2016-07-11,14.25,2016-07-12,13.15,,-1620.2407353999988,-0.08121507445614029,exit_model_urgent
GRAVITA,737,2016-07-11,27.0686249446,2016-07-12,25.9388040773,,-912.9170115826819,-0.04576122243652393,exit_model_urgent
AHLEAST,136,2016-07-11,145.8666666667,2016-07-13,138.7666666667,,-1045.389724817087,-0.052696680665436875,exit_model_urgent
BLBLIMITED,2871,2016-07-11,6.95,2016-07-13,6.4,,-1659.304611617401,-0.08315878264748205,exit_model_urgent
ELGIRUBCO,545,2016-07-11,36.55,2016-07-13,34.9,,-979.3690671170007,-0.049165730850889225,exit_model_urgent
BROOKS,190,2016-07-11,104.5,2016-07-18,110.6,,1079.1413633400007,0.05435111374162683,signal
CANTABIL,1310,2016-07-11,15.23,2016-07-18,15.69,,522.3540358803984,0.026181453633617784,signal
AARTIIND,152,2016-07-18,129.7723264279,2016-07-19,128.0845890754,,-335.8734254439478,-0.017027463784235274,exit_model_urgent
APLAPOLLO,215,2016-07-18,91.9967290701,2016-07-19,92.4065140548,,8.549620486410276,0.0004322509841700701,exit_model_urgent
BBL,40,2016-07-18,491.675,2016-07-19,435.95,,-2308.1024833640004,-0.11735915408369352,exit_model_urgent
BVCL,780,2016-07-18,25.35,2016-07-22,24.3,,-898.5288251160018,-0.04544221034319536,exit_model_urgent
