ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BASML,114,2016-07-01,261.15,2016-07-08,244.85,,-1977.942103141202,-0.06643832787976266,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
ASHOKA,176,2016-07-01,169.9,2016-07-14,159.8,,-1897.8702038207994,-0.06346882537257208,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-19,23.65,,-2830.124273976002,-0.09440670738461544,exit_model_urgent
GNFC,187,2016-07-01,160.05,2016-08-01,149.55,,-2083.8785992002013,-0.06962659059418935,exit_model_urgent
ASHIMASYN,1785,2016-07-01,16.8,2016-08-02,17.75,,1449.185905104001,0.04832552704761908,signal
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-08-02,1207.4063206177,,4307.022108375553,0.1465862145305027,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
GILLANDERS,433,2016-07-01,69.15,2016-08-02,66.1,,-1566.8354675594019,-0.05232910573825024,signal
DWARKESH,829,2016-08-02,35.93,2016-08-04,32.7,,-2797.471911649238,-0.09391911398719725,exit_model_urgent
GANECOS,165,2016-08-02,179.7,2016-08-08,169.5,,-1802.2570388459972,-0.06078336078130208,exit_model_urgent
GOODLUCK,237,2016-08-02,125.55,2016-08-09,119.0,,-1672.0287551921974,-0.0561925420199123,exit_model_urgent
DEEPAKFERT,171,2016-08-02,173.9542662116,2016-08-11,164.0750142207,,-1808.9939611306327,-0.06081432944293072,exit_model_urgent
DELTACORP,300,2016-08-02,99.05,2016-08-17,137.85,,11520.483536220003,0.387699260852095,exit_model_urgent
ASAHIINDIA,167,2016-08-02,178.3933045427,2016-09-01,200.1219662194,,3508.8616147387584,0.11777991022424307,signal
CANFINHOME,111,2016-08-02,266.5303877934,2016-09-01,286.2213872617,,2066.7078597857144,0.06985691155873629,signal
BLKASHYAP,1242,2016-09-01,24.2,2016-09-02,22.85,,-1797.5896059887964,-0.05980721596694203,exit_model_urgent
DPSCLTD,819,2016-09-01,36.7,2016-09-02,34.15,,-2209.3432258716057,-0.07350438082833806,exit_model_urgent
DATAMATICS,366,2016-09-01,82.15,2016-09-12,77.0,,-2005.8318379548,-0.06671229285209981,exit_model_urgent
ATLASCYCLE,115,2016-09-01,260.5,2016-09-29,243.3,,-2098.4918210899996,-0.07004896340115162,exit_model_urgent
AEGISLOG,230,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4145.425989167437,0.13816988507795466,signal
DEEPAKNTR,254,2016-09-01,118.3087496855,2016-10-04,120.4293316932,,417.76226634322666,0.013902043056258645,signal
DONEAR,583,2016-09-01,51.55,2016-10-04,68.75,,9906.721454764203,0.3296345520349177,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
GOACARBON,312,2016-09-01,96.35,2016-10-04,113.1,,5105.091087969602,0.16982326347483143,signal
CYBERTECH,358,2016-10-04,85.25,2016-10-10,80.3,,-1894.8522367940022,-0.06208660812903233,exit_model_urgent
AIAENG,24,2016-10-04,1271.7203303297,2016-10-21,1203.8624970557,,-1751.3474265805526,-0.0573811770563877,exit_model_urgent
CARBORUNIV,108,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-2398.9496403687554,-0.07905619841224981,exit_model_urgent
AARTIIND,184,2016-10-04,165.4104905228,2016-11-04,180.7835764073,,2706.233299988795,0.08891690984874288,signal
AMBIKCO,34,2016-10-04,874.65,2016-11-04,1003.35,,4256.1906258948,0.14312248011456014,signal
DECCANCE,57,2016-10-04,527.925,2016-11-04,552.55,,1282.5933136113017,0.042622791269403854,signal
FILATEX,4097,2016-10-04,7.4542545745,2016-11-04,7.4292570743,,-225.24977375557864,-0.007375546050994436,signal
GENESYS,329,2016-10-04,92.6,2016-11-04,98.9,,1822.210678383206,0.059812465235421365,signal
GSFC,354,2016-10-04,86.25,2016-11-04,91.4,,1700.2954760100038,0.055688052927536355,signal
DHUNINV,145,2016-11-04,210.85,2016-11-07,198.15,,-1964.4684242389994,-0.06425448469622953,exit_model_urgent
CINELINE,316,2016-11-04,96.95,2016-11-08,91.6,,-1813.8216149304026,-0.05920517606395057,exit_model_urgent
