ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,139,2016-07-01,215.5360413046,2016-07-12,203.5037434668,,-1792.989303908762,-0.05984708426101911,exit_model_urgent
CYBERTECH,485,2016-07-01,61.75,2016-07-12,57.45,,-2205.956627784999,-0.07365771953036433,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
BBTC,72,2016-07-01,413.7610375472,2016-07-18,385.9324287571,,-2123.481149937379,-0.0712797752150983,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-19,23.65,,-2830.124273976002,-0.09440670738461544,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-500.83734577499854,-0.016705018829268243,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
BFINVEST,255,2016-07-01,117.2977211069,2016-08-02,115.4878730331,,-581.8157263679823,-0.01945161660389724,signal
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-08-02,1207.4063206177,,4307.022108375553,0.1465862145305027,signal
CCHHL,2255,2016-07-01,13.3,2016-08-02,12.5,,-1924.628572218,-0.06417246793984963,signal
COMPUSOFT,2582,2016-08-02,11.55,2016-08-03,10.9,,-1798.2472298332032,-0.06029914827705638,exit_model_urgent
DWARKESH,830,2016-08-02,35.93,2016-08-04,32.7,,-2800.8464254147984,-0.09391911398719727,exit_model_urgent
EIHAHOTELS,165,2016-08-02,180.7,2016-08-09,169.675,,-1939.045684025994,-0.06503482027891513,exit_model_urgent
GOODLUCK,237,2016-08-02,125.55,2016-08-09,119.0,,-1672.0287551921974,-0.0561925420199123,exit_model_urgent
DEEPAKFERT,171,2016-08-02,173.9542662116,2016-08-11,164.0750142207,,-1808.9939611306327,-0.06081432944293072,exit_model_urgent
DELTACORP,301,2016-08-02,99.05,2016-08-17,137.85,,11558.885148007397,0.38769926085209483,exit_model_urgent
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
BHARATRAS,103,2016-08-02,289.5,2016-09-01,352.9625,,6416.704749697994,0.21519207034887716,signal
GPPL,172,2016-08-02,172.8,2016-09-01,181.05,,1299.4569904128002,0.04372096355555556,signal
BLKASHYAP,1242,2016-09-01,24.2,2016-09-02,22.85,,-1797.5896059887964,-0.05980721596694203,exit_model_urgent
DPSCLTD,819,2016-09-01,36.7,2016-09-02,34.15,,-2209.3432258716057,-0.07350438082833806,exit_model_urgent
GHCL,114,2016-09-01,263.65,2016-09-09,246.7,,-2053.188399361199,-0.06831187011492507,exit_model_urgent
ATLASCYCLE,115,2016-09-01,260.5,2016-09-29,243.3,,-2098.4918210899996,-0.07004896340115162,exit_model_urgent
AEGISLOG,230,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4145.425989167437,0.13816988507795466,signal
BHARATWIRE,736,2016-09-01,40.85,2016-10-04,39.95,,-783.3266092352023,-0.026053915745410113,signal
DEEPAKNTR,254,2016-09-01,118.3087496855,2016-10-04,120.4293316932,,417.76226634322666,0.013902043056258645,signal
DONEAR,583,2016-09-01,51.55,2016-10-04,68.75,,9906.721454764203,0.3296345520349177,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
GODFRYPHLP,75,2016-09-01,398.3661933693,2016-10-04,422.8428624335,,1715.5802688584154,0.057420544126276965,signal
ALKALI,481,2016-10-04,63.15,2016-10-06,84.05,,9930.728352186201,0.32693594442121937,exit_model_urgent
BANARBEADS,729,2016-10-04,41.7,2016-10-19,56.15,,10411.781218664393,0.3425006897745801,exit_model_urgent
AIAENG,23,2016-10-04,1271.7203303297,2016-10-21,1203.8624970557,,-1678.374617139696,-0.05738117705638769,exit_model_urgent
CARBORUNIV,108,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-2398.9496403687554,-0.07905619841224981,exit_model_urgent
AMBIKCO,34,2016-10-04,874.65,2016-11-04,1003.35,,4256.1906258948,0.14312248011456014,signal
CERA,12,2016-10-04,2435.2832749962,2016-11-04,2687.8670521991,,2913.4661258976485,0.09969634593133027,signal
DBCORP,77,2016-10-04,395.0,2016-11-04,381.5,,-1161.8319281799995,-0.038199307189873404,signal
GENESYS,328,2016-10-04,92.6,2016-11-04,98.9,,1944.2378041024022,0.06401246523542124,signal
GREENPLY,111,2016-10-04,272.3,2016-11-04,289.75,,1815.381062672397,0.06006163917884676,signal
DHUNINV,147,2016-11-04,210.85,2016-11-07,198.15,,-1991.5645404354,-0.06425448469622955,exit_model_urgent
BERGEPAINT,145,2016-11-04,214.2941957413,2016-11-08,202.7441717167,,-1799.730574265941,-0.05792007082600336,exit_model_urgent
CINELINE,321,2016-11-04,96.95,2016-11-08,91.6,,-1842.5213240274024,-0.059205176063950565,exit_model_urgent
