ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASHOKA,117,2016-07-01,169.9,2016-07-11,165.15,,-635.7023514036009,-0.031979714130665145,signal
ASTRAL,92,2016-07-01,215.5360413046,2016-07-11,205.7723097874,,-978.0186320271496,-0.04932185466661464,signal
BANCOINDIA,126,2016-07-01,157.65,2016-07-11,155.0,,-413.7944332788029,-0.020831479884554537,signal
BANG,769,2016-07-01,26.0,2016-07-11,25.15,,-734.0677074480009,-0.036714399692307734,signal
BASML,76,2016-07-01,261.15,2016-07-11,259.4,,-212.8280687607985,-0.010723221618992841,signal
BBTC,48,2016-07-01,413.7610375472,2016-07-11,401.8275040765,,-652.6904846270518,-0.032863699565184604,signal
CEMPRO,139,2016-07-01,143.7641786056,2016-07-11,147.4453375042,,431.30673428619775,0.021583444332516095,signal
CYBERTECH,323,2016-07-01,61.75,2016-07-11,59.65,,-758.5216304629976,-0.03803018916599178,signal
DTIL,90,2016-07-01,221.6333333333,2016-07-11,223.3666666667,,75.77133088201299,0.003798632921342778,signal
GANDHITUBE,76,2016-07-01,261.85,2016-07-11,259.15,,-285.24204405520504,-0.014333338897078732,signal
BEDMUTHA,971,2016-07-11,20.5,2016-07-12,18.75,,-1779.311752305999,-0.08938794565853654,exit_model_urgent
CELEBRITY,1397,2016-07-11,14.25,2016-07-12,13.15,,-1616.7687909670021,-0.08121507445614046,exit_model_urgent
BLBLIMITED,2865,2016-07-11,6.95,2016-07-13,6.4,,-1655.8368903810006,-0.08315878264748204,exit_model_urgent
AARTIDRUGS,160,2016-07-11,124.35,2016-07-18,123.7875,,-170.0235424320017,-0.00854561431604351,signal
AHLEAST,136,2016-07-11,145.8666666667,2016-07-18,138.5333333333,,-1077.1230581594864,-0.05429631503518054,signal
BERGEPAINT,105,2016-07-11,189.1611077491,2016-07-18,187.6466403132,,-238.9055354793236,-0.012028322529738525,signal
BHARATGEAR,303,2016-07-11,65.6333333333,2016-07-18,62.3666666667,,-1069.7869413745575,-0.053793549591696084,signal
EKC,1073,2016-07-11,18.55,2016-07-18,18.8,,188.19367751820027,0.009454996948787075,signal
ELGIRUBCO,544,2016-07-11,36.55,2016-07-18,33.75,,-1603.1720596543964,-0.08062947914090271,signal
BVCL,779,2016-07-18,25.35,2016-07-22,24.3,,-897.3768650837992,-0.045442210343195226,exit_model_urgent
AKZOINDIA,12,2016-07-18,1627.45,2016-07-25,1543.4,,-1087.1490435048,-0.05566730383446495,signal
AROGRANITE,254,2016-07-18,77.8,2016-07-25,73.85,,-1082.7813644304042,-0.05479330022622129,signal
ASTRAL,89,2016-07-18,219.9397288681,2016-07-25,230.9711886233,,903.0689318801342,0.04613464781218596,signal
AUTOIND,395,2016-07-11,50.3,2016-07-25,53.25,,1085.3370650979996,0.05462601933200793,signal
CEATLTD,23,2016-07-18,842.9776839412,2016-07-25,863.5590312602,,395.3887109655552,0.0203929639511556,signal
GAEL,558,2016-07-18,35.375,2016-07-25,35.45,,-37.543079510996904,-0.0019019506572436594,signal
GANDHITUBE,74,2016-07-18,265.15,2016-07-25,257.0,,-682.0178693411981,-0.03475941049896276,signal
GOLDTECH,2395,2016-07-18,8.25,2016-07-25,8.95,,1597.0284896949997,0.08082639284848483,signal
3MINDIA,1,2016-07-25,13760.5387480349,2016-08-01,13452.8220646794,,-363.06283616966175,-0.02638434750394563,signal
AARTIIND,144,2016-07-25,137.036935032,2016-08-01,137.6606640536,,10.447756056470098,0.0005294474915563622,signal
ARCHIES,800,2016-07-25,24.65,2016-08-01,23.55,,-959.3156542399993,-0.04864683845030422,signal
BANSWRAS,230,2016-07-25,85.825,2016-08-01,86.9,,167.85490944299818,0.008503395911447621,signal
BIOCON,148,2016-07-25,132.8336822162,2016-08-01,135.6414151777,,336.4726232972971,0.01711511442728355,signal
CHENNPETRO,85,2016-07-25,229.9981343592,2016-08-01,237.3563534378,,546.8173609022087,0.027970424370190542,signal
DATAMATICS,307,2016-07-25,64.1,2016-08-01,72.05,,2361.5004581596004,0.12000286899843997,signal
EDELWEISS,211,2016-07-25,93.4,2016-08-01,95.3,,321.6350241191976,0.016320520419700092,signal
EKC,960,2016-07-25,20.55,2016-08-01,21.7,,1024.6521690240006,0.051938978559610736,signal
GHCL,87,2016-07-25,225.4,2016-08-01,239.4,,1139.1275802983982,0.058089709242235936,signal
BAJFINANCE,181,2016-08-01,109.2219269373,2016-08-03,97.3460338193,,-2229.050069937195,-0.11275385906374602,exit_model_urgent
COMPUSOFT,1599,2016-08-01,12.4,2016-08-03,10.9,,-2478.2484313392015,-0.12498983393548393,exit_model_urgent
AGRITECH,794,2016-08-01,24.95,2016-08-08,31.7,,5279.8211508524,0.2665189901643287,signal
APARINDS,34,2016-08-01,578.9378785878,2016-08-08,533.964301547,,-1608.2720273260093,-0.0817049984121764,signal
