ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ESTER,517,2016-07-01,57.95,2016-07-05,55.1,,-1593.952479633801,-0.05320241986885249,exit_model_urgent
ASTRAL,139,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-1579.6773472261593,-0.05272707600573496,exit_model_urgent
BASML,114,2016-07-01,261.15,2016-07-08,244.85,,-1977.942103141202,-0.06643832787976266,exit_model_urgent
BBTC,72,2016-07-01,413.7610375472,2016-07-08,395.665105645,,-1422.7284140085794,-0.047757316586330645,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
BFINVEST,255,2016-07-01,117.2977211069,2016-07-21,112.0149213239,,-1467.4184122139814,-0.04905962327637897,exit_model_urgent
DTIL,135,2016-07-01,221.6333333333,2016-07-22,212.6666666667,,-1330.8430036769823,-0.044479303610473836,exit_model_urgent
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
CAPLIPOINT,28,2016-07-01,1049.3634660595,2016-08-02,1207.4063206177,,4307.022108375553,0.1465862145305027,signal
ALICON,90,2016-08-02,328.3,2016-08-03,306.6,,-2071.840752323995,-0.07012017302345398,exit_model_urgent
COMPUSOFT,2584,2016-08-02,11.55,2016-08-03,10.9,,-1799.6401401583971,-0.06029914827705618,exit_model_urgent
DWARKESH,830,2016-08-02,35.93,2016-08-04,32.7,,-2800.8464254147984,-0.09391911398719727,exit_model_urgent
DEEPAKFERT,171,2016-08-02,173.9542662116,2016-08-08,166.9047497156,,-1325.1091915027355,-0.04454720615514736,exit_model_urgent
GOODLUCK,237,2016-08-02,125.55,2016-08-09,119.0,,-1672.0287551921974,-0.0561925420199123,exit_model_urgent
BUTTERFLY,171,2016-08-02,173.75,2016-08-12,151.45,,-3932.8013809350014,-0.13236741574100724,exit_model_urgent
DELTACORP,301,2016-08-02,99.05,2016-08-17,137.85,,11558.885148007397,0.38769926085209483,exit_model_urgent
ASAHIINDIA,167,2016-08-02,178.3933045427,2016-09-01,200.1219662194,,3508.8616147387584,0.11777991022424307,signal
BAYERCROP,8,2016-08-02,3543.1854774806,2016-09-01,3467.7289951543,,-717.660002318331,-0.02531831902674718,signal
BLKASHYAP,1234,2016-09-01,24.2,2016-09-02,22.85,,-1786.0109289775974,-0.059807215966942065,exit_model_urgent
DPSCLTD,814,2016-09-01,36.7,2016-09-02,34.15,,-2195.855171989606,-0.07350438082833806,exit_model_urgent
GOACARBON,310,2016-09-01,96.35,2016-09-07,92.05,,-1453.1338549020002,-0.04865104892786715,exit_model_urgent
ATLASCYCLE,114,2016-09-01,260.5,2016-09-29,243.3,,-2080.244066124,-0.07004896340115163,exit_model_urgent
BSOFT,250,2016-09-01,119.444366088,2016-09-29,114.107098574,,-1454.4209358219014,-0.048706221430330654,exit_model_urgent
DEEPAKNTR,252,2016-09-01,118.3087496855,2016-09-29,113.0319525965,,-1449.666732689293,-0.048624009466183206,exit_model_urgent
AEGISLOG,229,2016-09-01,130.4451490792,2016-10-04,148.993402727,,4127.402397910188,0.13816988507795466,signal
ARE&M,32,2016-09-01,907.5331583919,2016-10-04,995.4042282754,,2695.068416876711,0.09280199544073091,signal
DONEAR,579,2016-09-01,51.55,2016-10-04,68.75,,9838.750810134603,0.3296345520349177,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
ALKALI,478,2016-10-04,63.15,2016-10-06,84.05,,9868.790337515598,0.32693594442121926,exit_model_urgent
