ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BASML,153,2016-07-01,261.15,2016-07-08,244.85,,-2654.606506847398,-0.06643832787976255,exit_model_urgent
BSOFT,276,2016-07-01,144.6123430718,2016-07-08,137.2505947767,,-2192.3763143426113,-0.05492886896470821,exit_model_urgent
ASTRAL,185,2016-07-01,215.5360413046,2016-07-12,203.5037434668,,-2386.3526706699413,-0.05984708426101927,exit_model_urgent
CYBERTECH,647,2016-07-01,61.75,2016-07-12,57.45,,-2942.7916251069983,-0.07365771953036433,exit_model_urgent
BANCOINDIA,253,2016-07-01,157.65,2016-07-13,149.15,,-2310.9229493613966,-0.05793899653536305,exit_model_urgent
BANG,1538,2016-07-01,26.0,2016-07-19,23.65,,-3775.1354148960017,-0.09440670738461543,exit_model_urgent
CCHHL,3007,2016-07-01,13.3,2016-08-02,12.5,,-2566.455927565199,-0.0641724679398496,exit_model_urgent
DTIL,180,2016-07-01,221.6333333333,2016-08-03,201.3333333333,,-3814.4573382479794,-0.09561481270989505,exit_model_urgent
ARCHIDPLY,780,2016-07-01,51.25,2016-08-12,48.65,,-2188.7831277000005,-0.054753799317073186,exit_model_urgent
BALAMINES,149,2016-07-01,267.22608569,2016-10-04,310.0141016448,,6215.267999949887,0.156097066443375,signal
ALKALI,621,2016-10-04,63.15,2016-10-06,84.05,,12821.169036814194,0.32693594442121915,exit_model_urgent
ATLASCYCLE,129,2016-10-04,302.4,2016-10-14,403.45,,12878.5497999168,0.33013796091005293,exit_model_urgent
AIAENG,30,2016-10-04,1271.7203303297,2016-10-21,1203.8624970557,,-2189.184283225688,-0.05738117705638762,exit_model_urgent
CARBORUNIV,139,2016-10-04,280.9709689587,2016-11-02,259.8885633751,,-3087.5370371412646,-0.0790561984122497,exit_model_urgent
DBCORP,99,2016-10-04,395.0,2016-11-09,374.1,,-2226.383907659998,-0.05693348440506324,exit_model_urgent
CERA,16,2016-10-04,2435.2832749962,2016-11-11,2167.4752701263,,-4441.647011967936,-0.1139920522175923,exit_model_urgent
ECLERX,78,2016-10-04,497.3017682614,2016-11-11,467.6212929255,,-2471.0921663695917,-0.06370511995235383,exit_model_urgent
CCL,174,2016-10-04,225.3583187238,2016-11-15,212.5330485525,,-2389.312678818009,-0.06093266110581019,exit_model_urgent
GENESYS,423,2016-10-04,92.6,2016-11-21,85.2,,-3287.744539221596,-0.08393569891144699,exit_model_urgent
APARINDS,62,2017-01-04,627.3038590691,2017-01-06,594.2521569766,,-2205.636107389124,-0.05671059632635279,exit_model_urgent
ASHOKA,240,2017-01-04,163.85,2017-01-06,155.0,,-2282.164745807997,-0.058034908600549204,exit_model_urgent
BASML,126,2017-01-04,311.25,2017-01-12,290.35,,-2791.1363930099906,-0.0711706863775098,exit_model_urgent
FACT,1511,2017-01-04,26.1138262106,2017-01-18,36.7287975519,,15880.51802514134,0.4024664576171077,exit_model_urgent
EMMBI,280,2017-01-04,140.55,2017-01-31,132.1,,-2524.285408568001,-0.06414304539736751,exit_model_urgent
BIRLAMONEY,1438,2017-01-04,27.45,2017-04-05,39.65,,17384.835560274798,0.4404223524444444,exit_model_urgent
AARTIIND,231,2017-01-04,170.7305321773,2017-04-07,191.9862388338,,4751.441944989878,0.12047647533549212,signal
CHAMBLFERT,605,2017-01-04,65.1595722552,2017-04-07,71.4519832989,,3648.351615892403,0.09254715831759752,signal
CHENNPETRO,144,2017-01-04,272.7274416405,2017-04-07,322.0404186238,,6943.110065582019,0.17679204495180248,signal
BEDMUTHA,1174,2017-04-07,34.95,2017-04-12,33.0,,-2454.3316634796065,-0.05981608341630917,exit_model_urgent
