ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
CHAMBLFERT,40,2016-08-04,49.8169921578,2016-08-05,51.8692268913,,74.0746483151222,0.03717338457552987,exit_model_urgent
DHANUKA,3,2016-08-04,602.8243142923,2016-08-05,607.4307392557,,6.545430334438606,0.00361931338824799,exit_model_urgent
DIVISLAB,1,2016-08-04,1103.4530201784,2016-08-05,1135.4802466602,,27.589036916964687,0.02500245720701752,exit_model_urgent
GODREJPROP,5,2016-08-04,345.0322108909,2016-08-05,361.7513950356,,76.6571642476672,0.044434787146239156,exit_model_urgent
BATAINDIA,3,2016-08-04,521.4683571693,2016-08-08,540.484586349,,50.756506416228376,0.032444606157729435,exit_model_urgent
CIGNITITEC,4,2016-08-04,443.055730517,2016-08-09,440.2726547,,-18.2603469050664,-0.010303639952787921,exit_model_urgent
GPPL,16,2016-08-04,124.7128213601,2016-08-11,124.1627795135,,-16.82637260303818,-0.00843255950928511,signal
GODREJIND,5,2016-08-04,395.8087986895,2016-08-12,401.776515217,,21.878685623806632,0.011055179013829753,exit_model_urgent
ASHIANA,12,2016-08-11,159.0438565262,2016-08-12,163.3144785996,,43.571196605002115,0.022829759851923002,exit_model_urgent
DALMIASUG,18,2016-08-11,107.9152409726,2016-08-12,100.5614850033,,-140.18041794049122,-0.0721659047091532,exit_model_urgent
GRASIM,11,2016-08-11,177.2540861168,2016-08-12,178.1106322408,,1.5797527048850952,0.0008102147905783582,exit_model_urgent
APCOTEXIND,14,2016-08-11,134.0179408127,2016-08-18,139.3515322756,,67.12382565421058,0.03577550099804553,exit_model_urgent
BYKE,12,2016-08-11,160.6,2016-08-19,160.65,,-7.151375702399719,-0.0037107594968865294,signal
BPL,54,2016-08-19,36.9,2016-08-22,38.35,,70.28557948080015,0.035273300953929616,exit_model_urgent
DCMSHRIRAM,10,2016-08-19,185.8134047075,2016-08-22,191.5767402547,,50.15976938633207,0.02699469904514777,exit_model_urgent
ARIES,20,2016-08-19,99.9875659336,2016-08-23,103.6997368964,,66.2002354751803,0.03310423394001947,exit_model_urgent
BHARATGEAR,36,2016-08-19,55.5196125908,2016-08-23,56.3428571429,,21.59782424839591,0.010805903255795704,exit_model_urgent
BANSWRAS,25,2016-08-19,78.8783608393,2016-08-24,81.4931131323,,57.43740672237823,0.029127079270521997,exit_model_urgent
BAGFILMS,413,2016-08-19,4.85,2016-08-26,4.95,,24.83073861940011,0.012396464701030983,signal
GOKEX,25,2016-08-11,78.85,2016-08-26,75.85,,-82.92854885499992,-0.04206901654026629,signal
AVANTIFEED,11,2016-08-26,169.0673637854,2016-08-30,173.4222487509,,40.42368521573394,0.021736190781458078,exit_model_urgent
COLPAL,2,2016-08-26,782.2286945191,2016-08-30,785.9392612459,,1.1287419048085212,0.0007214909864067639,exit_model_urgent
DLF,13,2016-08-26,149.0645242102,2016-08-30,151.3513625591,,21.934732541674748,0.011319172871816737,exit_model_urgent
FSL,56,2016-08-26,35.3901524581,2016-08-31,36.1317388891,,33.55766298749177,0.016932506369645283,exit_model_urgent
ASHIMASYN,122,2016-08-26,16.45,2016-09-06,18.1,,193.22806356520027,0.0962818593677813,exit_model_urgent
AUTOIND,43,2016-08-26,46.25,2016-09-06,44.95,,-63.898935464999795,-0.032130200108108006,exit_model_urgent
EIDPARRY,9,2016-09-02,217.9897991373,2016-09-06,224.5031624936,,50.72929496197435,0.025857119697413358,exit_model_urgent
GLENMARK,2,2016-09-02,832.9133153985,2016-09-06,840.1638128972,,7.800887032284436,0.004682892497973917,exit_model_urgent
COALINDIA,13,2016-09-02,153.3906888896,2016-09-07,152.7906049427,,-15.821460324245436,-0.007934219595514555,exit_model_urgent
GIPCL,30,2016-09-02,66.2856705209,2016-09-07,68.9975331371,,73.35766653249789,0.03688965551479591,exit_model_urgent
BALRAMCHIN,21,2016-09-02,92.8771976888,2016-09-09,94.9972697098,,36.676739131062504,0.018804522860879375,exit_model_urgent
CYIENT,4,2016-09-02,430.6994412522,2016-09-09,413.8041260062,,-74.51051209225966,-0.04324971485662396,exit_model_urgent
ACC,1,2016-09-12,1462.8025702624,2016-09-14,1497.5607708703,,28.87467409246824,0.019739283126422626,exit_model_urgent
BATAINDIA,3,2016-09-12,522.2073298058,2016-09-14,518.2168775686,,-18.272454482259946,-0.011663601433971419,exit_model_urgent
GINNIFILA,91,2016-09-12,22.05,2016-09-16,22.8,,60.17947129740037,0.029991513442177056,exit_model_urgent
DHANUKA,3,2016-09-12,637.443734894,2016-09-19,651.1680319502,,33.481319128897894,0.01750811734229138,exit_model_urgent
ASTRAL,9,2016-09-12,203.0144448487,2016-09-20,192.5390062505,,-101.6278323543936,-0.055621566145827424,signal
CHAMBLFERT,39,2016-09-12,51.2500320533,2016-09-20,49.6355318513,,-71.00466929093136,-0.0355245152632853,signal
CEMPRO,14,2016-09-20,137.6454955716,2016-09-21,144.1621417298,,83.48232636275611,0.043321601530531814,exit_model_urgent
CENTRALBK,21,2016-09-20,95.0818720971,2016-09-22,95.9493194857,,10.185406381358007,0.005101070696188275,exit_model_urgent
AVANTIFEED,11,2016-09-20,170.1403064581,2016-09-23,173.9744986559,,34.64859455549049,0.01851338050277362,exit_model_urgent
CTE,17,2016-09-20,116.4,2016-09-23,119.15,,38.79108435040007,0.019603337553264637,exit_model_urgent
ASHIMASYN,127,2016-09-20,15.8,2016-09-27,15.2,,-92.69844980720018,-0.04619677554430388,signal
GPPL,15,2016-09-20,127.0963360288,2016-09-27,126.7663109209,,-12.618273964061245,-0.006618745201908337,signal
CESC,46,2016-09-27,43.5187927558,2016-09-28,43.8607941247,,7.680379912532999,0.003836613337234332,exit_model_urgent
CINELINE,34,2016-09-27,58.2206974128,2016-09-28,60.7563554556,,78.25062741105285,0.03953042721531475,exit_model_urgent
EMAMILTD,3,2016-09-27,506.7557182179,2016-09-28,512.8414277373,,12.14247419760477,0.007987066062984629,exit_model_urgent
COROMANDEL,8,2016-09-20,234.5495106648,2016-09-29,224.9568682879,,-84.2881766987905,-0.04492024757368212,exit_model_urgent
CREST,31,2016-09-27,64.2895480799,2016-09-30,62.7967567158,,-54.292465074589245,-0.027241906241729275,exit_model_urgent
EXCELINDUS,7,2016-09-27,286.3304865077,2016-09-30,279.6093267927,,-55.109650918971056,-0.027495525782676326,exit_model_urgent
GOODLUCK,19,2016-09-27,104.1831981344,2016-10-04,110.7129214973,,107.78927093670995,0.05445330556723945,signal
CTE,17,2016-10-04,114.7,2016-10-07,112.15,,-51.19267719079994,-0.02625400132868349,exit_model_urgent
ADANIPORTS,8,2016-10-13,240.0710198566,2016-10-14,243.1782712088,,17.133308990423302,0.008920958577516678,exit_model_urgent
CESC,47,2016-10-13,42.3623345184,2016-10-14,42.4963144361,,-1.7110485861855977,-0.0008593787259756922,exit_model_urgent
