ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BSOFT,138,2016-07-01,144.6123430718,2016-07-07,138.8609772163,,-873.9553805065079,-0.04379301150335424,exit_model_urgent
AEGISLOG,181,2016-07-18,109.9813327122,2016-07-25,114.5599948217,,748.6715798598561,0.03760917393020549,signal
APTECHT,283,2016-07-18,70.55,2016-07-25,73.1,,641.3463188602,0.03212248631325301,signal
BEL,598,2016-07-18,33.3766576484,2016-07-25,33.3954530793,,-69.0382369749932,-0.00345896099095783,signal
BIOCON,175,2016-07-18,114.0005260355,2016-07-25,132.8336822162,,3215.5612259639456,0.16118027009116548,signal
DWARKESH,841,2016-07-18,23.755,2016-07-25,24.215,,306.50682701814003,0.0153422523485582,signal
EIDPARRY,90,2016-07-18,220.2071143224,2016-07-25,220.7614431187,,-29.822802890328603,-0.0015047855178469114,signal
EVERESTIND,68,2016-07-18,290.05,2016-07-25,294.0,,106.43239064719819,0.005396249665230041,signal
GANECOS,124,2016-07-18,160.0,2016-07-25,160.5,,-101.12630527999863,-0.005097091999999931,signal
GLAXO,13,2016-07-18,1491.7885300555,2016-07-25,1490.7830460503,,-91.07273132916089,-0.004696104425314979,signal
GOKEX,197,2016-07-18,101.2,2016-07-25,103.5,,372.913965051197,0.018705180727272577,signal
BBL,47,2016-07-25,420.175,2016-07-28,397.1,,-1163.9541777867016,-0.05893968585970139,exit_model_urgent
GINNIFILA,712,2016-07-25,28.2,2016-07-28,26.45,,-1326.7571720127999,-0.06607882958865248,exit_model_urgent
AKSHOPTFBR,1247,2016-07-25,16.1,2016-08-01,15.4,,-953.6503344564007,-0.047500352869565256,signal
BAJAJHIND,1022,2016-07-25,19.65,2016-08-01,20.05,,328.0271418284028,0.016334142096692254,signal
BASF,18,2016-07-25,1096.45,2016-08-01,1046.1,,-985.6804099212022,-0.04994301862684128,signal
CHAMBLFERT,384,2016-07-25,52.2313859619,2016-08-01,51.4668279239,,-374.2607914084874,-0.01865999646911945,signal
ELGIRUBCO,616,2016-07-25,32.6,2016-08-01,33.05,,112.08723729279882,0.005581588981595033,signal
GNFC,129,2016-07-25,155.35,2016-08-01,149.55,,-828.8033269937987,-0.04135714188735108,signal
ASAHISONG,100,2016-08-01,199.25,2016-08-02,188.05,,-1200.1401831000003,-0.06023288246424092,exit_model_urgent
ARVIND,65,2016-08-01,305.75,2016-08-03,293.35,,-885.934050885,-0.04457810181193786,exit_model_urgent
GEECEE,126,2016-08-01,157.45,2016-08-03,150.15,,-999.5930765603953,-0.05038601705557297,exit_model_urgent
DENORA,58,2016-08-01,340.8,2016-08-04,322.7,,-1129.302279308802,-0.05713242063849776,exit_model_urgent
ATLASCYCLE,95,2016-08-01,208.55,2016-08-08,202.35,,-751.8981422270008,-0.037951173754974865,signal
ATUL,10,2016-08-01,1893.2065450816,2016-08-08,1893.2558011578,,-75.65394823120369,-0.003996074724532652,signal
FILATEX,2822,2016-08-01,7.0792920708,2016-08-08,6.6543345665,,-1279.582474752835,-0.0640503405946333,signal
GAIL,409,2016-08-01,48.8210430847,2016-08-08,49.0715721216,,22.154020821646554,0.001109486947736899,signal
GICHSGFIN,71,2016-08-01,278.136369633,2016-08-08,287.8665207484,,611.4137344214942,0.030961290893214907,signal
GPPL,116,2016-08-01,171.95,2016-08-08,170.8,,-213.62545145039257,-0.010710082694969097,signal
GINNIFILA,794,2016-08-08,25.0,2016-08-09,23.95,,-913.5385262000018,-0.04602209200000009,exit_model_urgent
GNFC,136,2016-08-08,145.25,2016-08-10,138.15,,-1045.0524053679983,-0.05290333124268494,exit_model_urgent
GODREJCP,41,2016-08-08,480.0151291657,2016-08-10,459.6478832567,,-914.2143477157479,-0.04645251694181312,exit_model_urgent
EIHAHOTELS,115,2016-08-08,171.8,2016-08-12,163.85,,-993.7144716440016,-0.050296830067520455,exit_model_urgent
3MINDIA,1,2016-08-08,12568.4729217639,2016-08-16,12460.1891249212,,-158.8353512335434,-0.01263760141922253,signal
DABUR,71,2016-08-08,277.7378806524,2016-08-16,283.6724507518,,342.04127819870337,0.017345429367484462,signal
DREDGECORP,48,2016-08-08,413.05,2016-08-16,400.4,,-686.9436048288044,-0.03464792422370195,signal
GOLDIAM,1456,2016-08-08,13.64,2016-08-16,14.56,,1176.2305684147213,0.05922658835190622,signal
DALMIASUG,176,2016-08-16,111.9474676002,2016-08-17,104.7796439744,,-1340.783248579286,-0.06805054909202272,exit_model_urgent
AUTOIND,428,2016-08-16,46.15,2016-08-23,46.6,,30.195594397599052,0.001528720567713928,signal
BALRAMCHIN,201,2016-08-16,98.0606940342,2016-08-23,100.9966224503,,510.8453759052318,0.02591781863408204,signal
