ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank
BIRLACABLE,186,2023-01-02,161.1,2023-01-05,148.85,
GICHSGFIN,128,2023-01-02,232.5992624130487,2023-01-06,206.61975893499638,
CORDSCABLE,392,2023-01-02,76.45,2023-01-24,69.2,
DBCORP,227,2023-01-02,131.75,2023-01-30,120.45,
APOLLO,981,2023-01-02,30.565000000000005,2023-02-01,30.550000000000004,
ATULAUTO,102,2023-01-02,291.5,2023-02-01,322.95,
BANKA,374,2023-01-02,80.05,2023-02-01,82.35,
FORCEMOT,20,2023-01-02,1461.2205934936042,2023-02-01,1408.065390869156,
GPIL,384,2023-01-02,77.94435272255245,2023-02-01,76.93157760833232,
GRPLTD,54,2023-01-02,550.475,2023-02-01,673.325,
GENUSPOWER,317,2023-02-01,94.15,2023-02-07,86.7,
DATAPATTNS,22,2023-02-01,1357.626604566625,2023-02-23,1240.0294407209662,
ANDHRAPAP,341,2023-02-01,87.61000000000001,2023-03-02,85.11000000000001,
ANUP,55,2023-02-01,543.125,2023-03-02,544.175,
APARINDS,15,2023-02-01,1934.6954529717254,2023-03-02,2312.6576918638198,
ARE&M,51,2023-02-01,578.3600017674578,2023-03-02,558.8767610139641,
BAJAJHLDNG,5,2023-02-01,5843.275989482108,2023-03-02,5988.248260504576,
CIGNITITEC,48,2023-02-01,612.0,2023-03-02,707.6,
ECLERX,40,2023-02-01,732.3145606594367,2023-03-02,722.7702357815143,
GNA,75,2023-02-01,396.0611908433163,2023-03-02,456.72636697900606,
ESSARSHPNG,3058,2023-03-02,9.85,2023-03-13,9.05,
AGRITECH,290,2023-03-02,103.7,2023-03-20,95.7,
DENORA,31,2023-03-02,943.5,2023-03-24,867.25,
DONEAR,343,2023-03-02,87.75,2023-03-27,79.75,
BHARATWIRE,283,2023-03-02,106.1,2023-03-29,143.7,
ANANTRAJ,267,2023-03-02,112.51456768774705,2023-04-05,133.13974143610014,
ANMOL,874,2023-03-02,34.44,2023-04-05,39.52,
ANURAS,42,2023-03-02,704.1616469436061,2023-04-05,885.2844594712037,
BHEL,405,2023-03-02,74.28173190601925,2023-04-05,67.62815431550682,
COALINDIA,165,2023-03-02,182.01817213187383,2023-04-05,181.7323010964412,
DGCONTENT,1863,2023-04-05,16.4,2023-04-11,14.95,
ATULAUTO,76,2023-04-05,401.4,2023-04-25,370.85,
FOCUS,54,2023-04-05,562.85,2023-04-28,771.4,
APOLLO,1039,2023-04-05,29.390000000000004,2023-05-09,36.05,
APTECHT,80,2023-04-05,381.1,2023-05-09,427.85,
BANSWRAS,226,2023-04-05,135.2,2023-05-09,158.45,
COFORGE,38,2023-04-05,786.4402550681564,2023-05-09,795.2798034342269,
ELGIEQUIP,66,2023-04-05,462.8498680527113,2023-05-09,441.51352121923514,
FOODSIN,239,2023-04-05,127.7,2023-05-09,141.95,
GANECOS,33,2023-04-05,924.55,2023-05-09,1071.2,
ANDHRAPAP,333,2023-05-09,94.09,2023-05-25,86.69,
ELGIRUBCO,749,2023-05-09,41.9,2023-05-29,38.25,
GREAVESCOT,211,2023-05-09,148.25,2023-05-29,133.05,
CHEMBOND,109,2023-05-09,285.5821210648523,2023-06-06,389.8932906744424,
AYMSYNTEX,399,2023-05-09,78.6,2023-06-07,74.5,
BBL,21,2023-05-09,1445.925,2023-06-07,1573.325,
BSOFT,105,2023-05-09,297.4739637714632,2023-06-07,328.5482918604855,
CARBORUNIV,27,2023-05-09,1131.8637618962096,2023-06-07,1183.7294769228065,
EMUDHRA,95,2023-05-09,328.75,2023-06-07,412.15,
BRNL,941,2023-06-07,33.9,2023-06-23,31.35,
BOMDYEING,357,2023-06-07,89.25,2023-07-05,122.75,
ASTERDM,147,2023-06-07,216.15069540402737,2023-07-07,238.61579576905265,
