ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ASTRAL,139,2016-07-01,215.5360413046,2016-07-08,205.0383618602,,-1579.6773472261593,-0.05272707600573496,exit_model_urgent
BASML,114,2016-07-01,261.15,2016-07-08,244.85,,-1977.942103141202,-0.06643832787976266,exit_model_urgent
BLUECHIP,60000,2016-07-01,0.5,2016-07-08,0.45,,-3120.6627599999993,-0.10402209199999997,exit_model_urgent
CYBERTECH,485,2016-07-01,61.75,2016-07-12,57.45,,-2205.956627784999,-0.07365771953036433,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
DTIL,135,2016-07-01,221.6333333333,2016-07-22,212.6666666667,,-1330.8430036769823,-0.044479303610473836,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-500.83734577499854,-0.016705018829268243,signal
BALAMINES,112,2016-07-01,267.22608569,2016-08-02,299.7648792184,,3523.966390218953,0.1177429424440818,signal
CEMPRO,208,2016-07-01,143.7641786056,2016-08-02,144.2118871203,,-27.149041494882113,-0.0009079051487105268,signal
ALICON,90,2016-08-02,328.3,2016-08-03,306.6,,-2071.840752323995,-0.07012017302345398,exit_model_urgent
COMPUSOFT,2570,2016-08-02,11.55,2016-08-03,10.9,,-1789.889767882003,-0.060299148277056375,exit_model_urgent
EIHAHOTELS,164,2016-08-02,180.7,2016-08-08,171.8,,-1578.7938920015986,-0.053274997368013235,exit_model_urgent
GOODLUCK,236,2016-08-02,125.55,2016-08-09,119.0,,-1664.973781541601,-0.056192542019912424,exit_model_urgent
DELTACORP,299,2016-08-02,99.05,2016-08-17,137.85,,11482.081924432601,0.38769926085209494,exit_model_urgent
GPPL,171,2016-08-02,172.8,2016-08-17,175.6,,359.9520079103968,0.012181611703703594,exit_model_urgent
BHARATRAS,102,2016-08-02,289.5,2016-09-01,352.9625,,6354.406645331997,0.2151920703488773,signal
GABRIEL,299,2016-08-02,99.1875656402,2016-09-01,113.4797220725,,4154.071260493685,0.14007012702011773,signal
GMDCLTD,361,2016-08-02,82.1901329732,2016-09-01,89.5532978817,,2538.764496220432,0.08556487716697943,signal
BLKASHYAP,1248,2016-09-01,24.2,2016-09-02,22.85,,-1806.2736137471948,-0.059807215966941975,exit_model_urgent
DPSCLTD,823,2016-09-01,36.7,2016-09-02,34.15,,-2220.1336689772033,-0.07350438082833798,exit_model_urgent
