ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
DALMIASUG,178,2016-08-16,111.9474676002,2016-08-23,110.0559585878,,-416.83542067339295,-0.02091849039960626,signal
GOKEX,261,2016-08-16,76.55,2016-08-23,77.3,,115.39041178140178,0.005775425962116353,signal
ASTRAL,101,2016-09-15,197.5654375099,2016-09-22,193.3619175629,,-504.81277758119177,-0.025298687744583916,signal
GODREJPROP,60,2016-09-15,330.8,2016-09-22,341.25,,547.169517983999,0.027567992643288942,signal
APLAPOLLO,238,2016-09-22,83.8644484805,2016-10-06,83.8449349098,,-84.92413532824139,-0.004254771890627636,signal
COLPAL,26,2016-10-17,752.4617036667,2016-10-24,794.2261936023,,1007.1885131613672,0.05148171601053934,signal
DIVISLAB,16,2016-10-17,1179.0619094827,2016-10-24,1219.2610313813,,567.3092227994384,0.030072065037298323,signal
APCOTEXIND,151,2016-11-07,132.52,2016-11-15,128.4,,-702.6041524078391,-0.035111738845759084,signal
ASIANPAINT,20,2016-11-07,968.0416789027,2016-11-15,831.2831036454,,-2813.0425589936203,-0.145295529123409,signal
BFINVEST,144,2016-11-07,138.8202387412,2016-11-15,128.2057243625,,-1608.8921496545845,-0.08048438939230193,signal
ASIANTILES,97,2016-11-15,204.25,2016-11-21,178.75,,-2553.1866922269983,-0.12886909322399012,exit_model_urgent
BANCOINDIA,111,2016-11-15,179.3,2016-11-21,161.75,,-2028.0988816116042,-0.10190273896040175,exit_model_urgent
BLUESTARCO,88,2016-11-15,224.689208921,2016-11-22,220.8259472095,,-419.49444954450155,-0.021215893740867516,signal
CHENNPETRO,98,2016-11-15,201.2537463794,2016-11-22,219.0253515226,,1662.290117871904,0.08428237667655962,signal
DCBBANK,196,2016-11-15,101.35,2016-11-22,108.0,,1223.5027512568013,0.061592116189442596,signal
DECCANCE,47,2016-11-15,422.3,2016-11-22,398.425,,-1201.9558842252009,-0.060557730171915736,signal
DIVISLAB,17,2016-11-15,1118.3540140167,2016-11-22,1135.5409439781,,215.7097228837447,0.011345966544960328,signal
FINCABLES,54,2016-11-15,368.7859275568,2016-11-22,378.9647323513,,469.5577487403025,0.023578757256733675,signal
FINPIPE,239,2016-11-15,83.06,2016-11-22,83.37,,-5.753915803281416,-0.0002898502470503964,signal
ALPHAGEO,23,2016-11-22,831.8,2016-11-29,929.35,,2166.701749111202,0.1132536954489061,signal
BASF,19,2016-11-22,1033.8,2016-11-29,1038.5,,10.297264517597796,0.0005242419137162739,signal
BIRLACORPN,30,2016-11-22,658.7,2016-11-29,665.65,,129.01943998799834,0.006528993471382943,signal
BODALCHEM,186,2016-11-22,106.5,2016-11-29,127.1,,3751.926379572,0.18940513804694836,signal
BPL,364,2016-11-22,54.5,2016-11-29,72.2,,6363.009738903998,0.3207485502018348,signal
