ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
BHARATGEAR,33,2016-08-04,59.4382566586,2016-08-11,56.6062953995,,-109.58204643099862,-0.05586752136321556,signal
CHAMBLFERT,40,2016-08-04,49.8169921578,2016-08-11,52.9959439998,,119.1433326551221,0.05979050896816713,signal
CIGNITITEC,4,2016-08-04,443.055730517,2016-08-11,443.9005928186,,-11.191930703351773,-0.006315193514307982,signal
DABUR,7,2016-08-04,277.1335867816,2016-08-11,276.1024792374,,-15.020350285678887,-0.0077427075925537775,signal
DHANUKA,3,2016-08-04,602.8243142923,2016-08-11,607.2882725043,,6.118030080238668,0.003382981262913544,signal
DIVISLAB,1,2016-08-04,1103.4530201784,2016-08-11,1127.6172748892,,19.72606514596464,0.017876669677133552,signal
EXIDEIND,12,2016-08-04,160.0932310343,2016-08-11,161.7122033216,,11.700751002033257,0.006090592195580487,signal
GODREJPROP,5,2016-08-04,345.0322108909,2016-08-11,358.1189532423,,58.494955281166995,0.03390695328423307,signal
GPPL,16,2016-08-04,124.7128213601,2016-08-11,124.1627795135,,-16.82637260303818,-0.00843255950928511,signal
ARIES,18,2016-08-04,106.4959176217,2016-08-12,99.5054658086,,-133.53818744518026,-0.06966265333993632,exit_model_urgent
DALMIASUG,18,2016-08-11,107.9152409726,2016-08-12,100.5614850033,,-140.18041794049122,-0.0721659047091532,exit_model_urgent
ACE,46,2016-08-11,43.0581524053,2016-08-19,43.5570881226,,14.984585880889654,0.0075653935150214536,signal
APCOTEXIND,14,2016-08-11,134.0179408127,2016-08-19,146.5363015314,,159.83034031562352,0.08518600428014882,signal
ASHIANA,12,2016-08-11,159.0438565262,2016-08-19,166.308822812,,71.48751678488134,0.037456920345900986,signal
BATAINDIA,3,2016-08-04,521.4683571693,2016-08-19,542.9478284708,,58.14623278162844,0.03716827172235027,signal
BYKE,12,2016-08-11,160.6,2016-08-19,160.65,,-7.151375702399719,-0.0037107594968865294,signal
DHANBANK,88,2016-08-11,22.6,2016-08-19,23.0,,27.20086343039975,0.013677023044247661,signal
EMKAY,30,2016-08-11,66.4240410348,2016-08-19,65.1820058621,,-53.64539247299717,-0.026920670908339744,signal
GODREJIND,5,2016-08-04,395.8087986895,2016-08-19,415.4028012882,,90.0101159798071,0.04548161449559756,signal
GRAPHITE,31,2016-08-11,62.7984655935,2016-08-19,62.7561485682,,-17.318205392926302,-0.008895946446921054,signal
GRASIM,11,2016-08-11,177.2540861168,2016-08-19,180.8860768898,,32.109643843885124,0.01646821574166023,signal
BAGFILMS,413,2016-08-19,4.85,2016-08-26,4.95,,24.83073861940011,0.012396464701030983,signal
BANSWRAS,25,2016-08-19,78.8783608393,2016-08-26,81.2267957691,,42.4972447542516,0.021550774788959844,signal
BHARATGEAR,36,2016-08-19,55.5196125908,2016-08-26,62.401937046,,231.33013533626718,0.11573994833204033,signal
BPL,54,2016-08-19,36.9,2016-08-26,48.8,,634.5855794807999,0.31847113293224927,signal
DCMSHRIRAM,10,2016-08-19,185.8134047075,2016-08-26,191.8800737045,,53.193103884332004,0.02862716173145121,signal
GOKEX,25,2016-08-11,78.85,2016-08-26,75.85,,-82.92854885499992,-0.04206901654026629,signal
DLF,13,2016-08-26,149.0645242102,2016-09-01,138.8437568959,,-140.66414107992568,-0.07258815336472438,exit_model_urgent
ACE,47,2016-08-26,42.3097488293,2016-09-02,45.1037888463,,123.32171679144858,0.062015643848365595,signal
AMRUTANJAN,9,2016-08-26,207.4742129915,2016-09-02,211.2782258911,,18.883267494806432,0.010112778848532029,signal
APLLTD,3,2016-08-26,588.5840650982,2016-09-02,576.3914367806,,-43.679902731476886,-0.024737277885241018,signal
AVANTIFEED,11,2016-08-26,169.0673637854,2016-09-02,169.5249422782,,-2.4466859839658355,-0.0013156057654313323,signal
