ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
AGRITECH,1019,2017-04-07,39.25,2017-04-13,54.75,,15633.633413891002,0.39088236659872616,exit_model_urgent
DUCON,997,2017-04-07,40.1,2017-04-28,35.8,,-4447.902031532409,-0.11125401219950146,exit_model_urgent
GENESYS,218,2017-04-07,183.05,2017-05-02,163.6,,-4400.6011790508055,-0.1102772135514888,exit_model_urgent
GRAVITA,709,2017-04-07,56.3968916236668,2017-05-16,77.06319832048626,,14491.586506028296,0.3624219814557597,exit_model_urgent
APTECHT,175,2017-04-07,227.45,2017-05-19,203.7,,-4316.344344445002,-0.10844064552824802,exit_model_urgent
DONEAR,519,2017-04-07,76.95,2017-05-19,69.25,,-4156.930489308601,-0.10408706925795973,exit_model_urgent
BHARATRAS,53,2017-04-07,754.3,2017-05-22,677.3875,,-4237.157291766787,-0.10598749038260609,exit_model_urgent
FMNL,500,2017-04-07,79.9,2017-05-23,70.8,,-4710.682575400002,-0.11791445745682108,exit_model_urgent
CENTEXT,6722,2017-04-07,5.95,2017-05-30,5.15,,-5538.467189422801,-0.13847587351260507,exit_model_urgent
GOCLCORP,93,2017-04-07,425.9,2017-07-10,399.7,,-2595.909835400402,-0.06553887997839873,signal
BIRLAMONEY,432,2017-07-10,92.0,2017-07-19,129.3,,15953.745975552003,0.4014126906086957,exit_model_urgent
APOLSINHOT,49,2017-07-10,805.8,2017-07-27,715.4,,-4588.409084946397,-0.11620873881062292,exit_model_urgent
GINNIFILA,653,2017-07-10,60.95,2017-08-03,50.25,,-7147.1806693322,-0.17957582456767843,exit_model_urgent
DHUNINV,102,2017-07-10,387.75,2017-08-11,332.05,,-5840.475749646001,-0.14767135054287558,exit_model_urgent
AVANTIFEED,77,2017-07-10,515.6833333333333,2017-09-20,700.6,,14078.875645999273,0.35456360335567716,exit_model_urgent
GOACARBON,127,2017-07-10,312.95,2017-09-20,433.8,,15188.093361192194,0.3821418319495125,exit_model_urgent
BEPL,848,2017-07-10,46.93333333333334,2017-10-04,65.86666666666666,,15895.389550182394,0.39938699890909074,exit_model_urgent
CREST,252,2017-07-10,157.5,2017-10-10,166.6,,2133.5631685199987,0.05375568577777774,signal
BOMDYEING,176,2017-10-10,236.1,2017-10-13,207.75,,-5156.7324021312015,-0.12409833088182977,exit_model_urgent
EMKAY,145,2017-10-10,285.75,2017-11-01,257.85,,-4212.150354404999,-0.10165988727559053,exit_model_urgent
CALSOFT,1517,2017-10-10,27.45,2017-11-06,38.0,,15836.8634526682,0.3803130628269581,exit_model_urgent
GRAPHITE,103,2017-10-10,401.8152693539748,2017-11-14,555.4479751392621,,15657.7064839089,0.37832451725726585,exit_model_urgent
FMNL,312,2017-10-10,133.4,2018-01-09,139.55,,1751.3973132864048,0.04207985702548737,signal
GPTINFRA,254,2017-10-10,163.9,2018-01-16,231.95,,17117.257896784795,0.4111700983599755,exit_model_urgent
ALANKIT,590,2018-01-09,72.9,2018-01-23,67.35,,-3447.4941990119987,-0.08015377924279832,exit_model_urgent
AGRITECH,346,2018-01-09,124.3,2018-01-23,115.25,,-3304.281328317593,-0.07682981525020097,exit_model_urgent
AUSOMENT,568,2018-04-13,76.4,2018-04-23,107.5,,17490.2605132416,0.4030459708272251,exit_model_urgent
GENUSPAPER,3325,2018-04-13,13.05,2018-05-09,11.2,,-6325.773599494998,-0.14578454410727965,exit_model_urgent
BUTTERFLY,84,2018-04-13,514.1,2018-05-18,459.15,,-4789.4916297648015,-0.11090791187940092,exit_model_urgent
GPIL,2060,2018-01-09,20.903592299424012,2018-06-04,17.462247284782936,,-7262.3676431596905,-0.16865145165010662,exit_model_urgent
ACE,296,2018-07-12,145.63933588761174,2018-07-17,131.41966794380588,,-4382.411054463162,-0.10165826877286734,exit_model_urgent
BHARATRAS,24,2018-07-12,1731.85,2018-07-20,1549.7875,,-4536.675840724798,-0.10914811330669512,exit_model_urgent
GROBTEA,21,2018-01-09,1960.95,2018-07-24,587.25,,-29013.329547455403,-0.7045498974004437,exit_model_urgent
GSS,590,2018-07-12,73.1,2018-07-27,65.1,,-4893.468805867997,-0.11346121648700402,exit_model_urgent
EXCELINDUS,37,2018-04-13,1171.75,2018-08-03,1614.3,,16199.973206862996,0.37366086084830374,exit_model_urgent
APOLSINHOT,31,2018-07-12,1364.65,2018-09-12,1274.6,,-2961.7011832818025,-0.07000970787220172,exit_model_urgent
ASIANHOTNR,182,2018-07-12,236.0,2018-09-19,222.0,,-2720.7568955840034,-0.06334412589830517,exit_model_urgent
BSOFT,156,2018-07-12,275.7434845782766,2018-09-21,255.59069862044493,,-3316.848852908144,-0.0771073581438344,exit_model_urgent
