ticker,qty,buy_date,buy_price,sale_date,sale_price,stock_rank,pnl_inr,pnl_pct,exit_reason
ESTER,517,2016-07-01,57.95,2016-07-05,55.1,,-1593.952479633801,-0.05320241986885249,exit_model_urgent
ASTRAL,139,2016-07-01,215.53604130459465,2016-07-08,205.03836186018555,,-1579.677347227429,-0.05272707600577864,exit_model_urgent
BBTC,72,2016-07-01,413.7610375471724,2016-07-08,395.6651056449911,,-1422.728414007226,-0.0477573165862884,exit_model_urgent
BANCOINDIA,190,2016-07-01,157.65,2016-07-13,149.15,,-1735.4757327219995,-0.05793899653536313,exit_model_urgent
BANG,1153,2016-07-01,26.0,2016-07-13,24.8,,-1504.1742739759975,-0.05017593815384607,exit_model_urgent
BFINVEST,255,2016-07-01,117.29772110689093,2016-07-21,112.01492132392838,,-1467.418412204428,-0.04905962327606336,exit_model_urgent
ARCHIDPLY,585,2016-07-01,51.25,2016-08-02,50.6,,-500.83734577499854,-0.016705018829268243,signal
BALAMINES,112,2016-07-01,267.22608568995656,2016-08-02,299.7648792183929,,3523.966390223046,0.11774294244423768,signal
CAPLIPOINT,28,2016-07-01,1049.3634660594712,2016-08-02,1207.4063206177218,,4307.022108376972,0.146586214530555,signal
CCHHL,2255,2016-07-01,13.3,2016-08-02,12.5,,-1924.628572218,-0.06417246793984963,signal
ALICON,91,2016-08-02,328.3,2016-08-03,306.6,,-2094.861205127596,-0.07012017302345402,exit_model_urgent
COMPUSOFT,2587,2016-08-02,11.55,2016-08-03,10.9,,-1801.7295056462026,-0.06029914827705636,exit_model_urgent
DWARKESH,831,2016-08-02,35.93000000000001,2016-08-04,32.7,,-2804.2209391803663,-0.09391911398719752,exit_model_urgent
DEEPAKFERT,171,2016-08-02,173.95426621160408,2016-08-08,166.9047497155859,,-1325.1091915058532,-0.04454720615525112,exit_model_urgent
GOODLUCK,238,2016-08-02,125.55,2016-08-09,119.0,,-1679.0837288427974,-0.056192542019912306,exit_model_urgent
BUTTERFLY,171,2016-08-02,173.75,2016-08-12,151.45,,-3932.8013809350014,-0.13236741574100724,exit_model_urgent
DELTACORP,301,2016-08-02,99.05,2016-08-17,137.85,,11558.885148007397,0.38769926085209483,exit_model_urgent
ASAHIINDIA,167,2016-08-02,178.39330454267235,2016-09-01,200.12196621944946,,3508.8616147516514,0.1177799102246941,signal
BAYERCROP,8,2016-08-02,3543.185477480587,2016-09-01,3467.7289951542502,,-717.660002318622,-0.02531831902675754,signal
BLKASHYAP,1235,2016-09-01,24.2,2016-09-02,22.85,,-1787.4582636039995,-0.059807215966942134,exit_model_urgent
CENTEXT,13001,2016-09-01,2.3,2016-09-02,2.15,,-2070.4198016116025,-0.06923948330434791,exit_model_urgent
DPSCLTD,814,2016-09-01,36.7,2016-09-02,34.15,,-2195.855171989606,-0.07350438082833806,exit_model_urgent
GOACARBON,310,2016-09-01,96.35,2016-09-07,92.05,,-1453.1338549020002,-0.04865104892786715,exit_model_urgent
AKSHOPTFBR,2000,2016-09-01,14.95,2016-09-12,20.5,,10979.739449200002,0.36721536619398,exit_model_urgent
ATLASCYCLE,114,2016-09-01,260.5,2016-09-29,243.3,,-2080.244066124,-0.07004896340115163,exit_model_urgent
DEEPAKNTR,252,2016-09-01,118.30874968547036,2016-09-29,113.03195259653941,,-1449.6667326718634,-0.048624009465610775,exit_model_urgent
AEGISLOG,229,2016-09-01,130.44514907924847,2016-10-04,148.99340272697827,,4127.402397894075,0.13816988507736394,signal
DONEAR,580,2016-09-01,51.55,2016-10-04,68.75,,9855.743471292,0.3296345520349176,signal
ENIL,39,2016-09-01,760.3,2016-10-04,869.1,,4123.938134643606,0.13907931533920842,signal
ALKALI,482,2016-10-04,63.15,2016-10-06,84.05,,9951.374357076402,0.32693594442121937,exit_model_urgent
AIAENG,23,2016-10-04,1271.7203303297204,2016-10-10,1213.6390337161613,,-1453.5142739495604,-0.04969353030947512,exit_model_urgent
CARBORUNIV,108,2016-10-04,280.97096895865775,2016-10-17,269.6152186784392,,-1348.470867603537,-0.0444381902264664,exit_model_urgent
